yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,beige,34,33,0..1000,1
201712,beige,16,28,0..1000,1
201713,beige,16,40,0..1000,1
201714,beige,16,41,0..1000,1
201715,beige,8,65,0..1000,1
201716,beige,6,63,0..1000,1
201717,beige,22,64,0..1000,1
201718,beige,24,63,0..1000,1
201719,beige,10,73,0..1000,1
201720,beige,6,78,0..1000,1
201721,beige,6,89,0..1000,1
201722,beige,8,90,0..1000,1
201723,beige,12,123,0..1000,1
201724,beige,6,406,0..1000,2
201725,beige,14,335,0..1000,2
201726,beige,16,208,0..1000,2
201727,beige,18,157,0..1000,2
201728,beige,18,295,0..1000,2
201729,beige,26,152,0..1000,2
201730,beige,14,153,0..1000,2
201731,beige,4,153,0..1000,2
201732,beige,6,140,0..1000,2
201733,beige,6,135,0..1000,2
201734,beige,24,189,0..1000,2
201735,beige,8,229,0..1000,2
201736,beige,12,298,0..1000,2
201737,beige,0,317,0..1000,2
201738,beige,12,282,0..1000,2
201739,beige,12,292,0..1000,2
201740,beige,14,279,0..1000,2
201741,beige,4,255,0..1000,2
201742,beige,12,305,0..1000,2
201743,beige,12,432,0..1000,2
201744,beige,2,391,0..1000,2
201752,beige,8,543,0..1000,1
201753,beige,2,351,0..1000,1
201801,beige,14,378,0..1000,1
201802,beige,6,588,0..1000,2
201803,beige,12,559,0..1000,2
201804,beige,2,120,0..1000,1
201805,beige,4,455,0..1000,2
201806,beige,0,480,0..1000,3
201807,beige,4,399,0..1000,3
201808,beige,6,373,0..1000,3
201809,beige,6,266,0..1000,3
201810,beige,8,216,0..1000,3
201811,beige,14,222,0..1000,3
201812,beige,10,206,0..1000,3
201813,beige,4,159,0..1000,3
201814,beige,26,167,0..1000,3
201815,beige,24,124,0..1000,3
201816,beige,4,138,0..1000,3
201817,beige,4,163,0..1000,3
201818,beige,6,151,0..1000,3
201822,beige,0,365,0..1000,438
201823,beige,4,382,0..1000,466
201824,beige,0,353,0..1000,442
201825,beige,8,329,0..1000,452
201826,beige,8,332,0..1000,448
201827,beige,4,354,0..1000,448
201828,beige,4,320,0..1000,456
201829,beige,6,377,0..1000,418
201830,beige,12,325,0..1000,461
201831,beige,10,357,0..1000,490
201832,beige,18,309,0..1000,464
201833,beige,6,280,0..1000,469
201834,beige,6,323,0..1000,469
201835,beige,22,335,0..1000,484
201836,beige,10,347,0..1000,514
201837,beige,0,308,0..1000,425
201838,beige,6,318,0..1000,449
201839,beige,4,320,0..1000,483
201840,beige,4,328,0..1000,449
201841,beige,12,276,0..1000,352
201842,beige,8,283,0..1000,305
201843,beige,6,343,0..1000,327
