yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201621,beige,14,730436,300000+,1
201623,beige,20,339947,300000+,1
201625,beige,16,361159,300000+,1
201629,beige,26,335011,300000+,1
201630,beige,28,311079,300000+,1
201631,beige,28,950427,300000+,6
201632,beige,20,1011317,300000+,6
201633,beige,22,973344,300000+,7
201634,beige,30,987259,300000+,7
201635,beige,14,1036443,300000+,7
201636,beige,36,1074357,300000+,7
201637,beige,26,1040069,300000+,7
201638,beige,32,1103271,300000+,7
201639,beige,22,1146801,300000+,7
201640,beige,22,1172471,300000+,7
201641,beige,4,1205677,300000+,7
201642,beige,18,1232654,300000+,7
201643,beige,12,1264498,300000+,7
201644,beige,18,1295174,300000+,7
201645,beige,18,1221475,300000+,6
201646,beige,10,874671,300000+,1
201647,beige,26,968533,300000+,1
201726,beige,16,574824,300000+,1
201728,beige,18,335129,300000+,1
201731,beige,4,384631,300000+,1
201735,beige,8,389954,300000+,1
201737,beige,0,400841,300000+,1
201739,beige,12,910590,300000+,9
201740,beige,14,686360,300000+,3
201741,beige,4,809021,300000+,3
201742,beige,12,855798,300000+,3
201743,beige,12,1066549,300000+,3
201744,beige,2,833904,300000+,3
201748,beige,0,1386751,300000+,3
201749,beige,8,1345019,300000+,3
201750,beige,6,1468418,300000+,3
201751,beige,8,1206913,300000+,3
201752,beige,8,1110102,300000+,3
201753,beige,2,1108222,300000+,3
201801,beige,14,850538,300000+,3
201802,beige,6,898743,300000+,3
201803,beige,12,937662,300000+,3
201804,beige,2,936876,300000+,3
201805,beige,4,761403,300000+,3
201806,beige,0,831737,300000+,3
201807,beige,4,713589,300000+,3
201808,beige,6,711104,300000+,3
201809,beige,6,739099,300000+,3
201810,beige,8,849484,300000+,3
201811,beige,14,747637,300000+,3
201812,beige,10,665786,300000+,3
201813,beige,4,801689,300000+,6
201814,beige,26,834434,300000+,3
201822,beige,0,1168484,300000+,6
201823,beige,4,1685348,300000+,6
201824,beige,0,1329936,300000+,6
201825,beige,8,1736590,300000+,6
201826,beige,8,1935026,300000+,6
201827,beige,4,1517438,300000+,7
201828,beige,4,1303778,300000+,7
201829,beige,6,1639416,300000+,6
201830,beige,12,1524721,300000+,8
201831,beige,10,983375,300000+,7
201832,beige,18,1044787,300000+,8
201833,beige,6,562554,300000+,6
201834,beige,6,893477,300000+,4
201835,beige,22,726006,300000+,6
201836,beige,10,1216589,300000+,4
201837,beige,0,919700,300000+,6
201838,beige,6,703314,300000+,5
201839,beige,4,1182201,300000+,3
201840,beige,4,1058548,300000+,6
201841,beige,12,439304,300000+,6
201842,beige,8,362565,300000+,1
