yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201701,black,620,185951,150001..200000,1
201702,black,796,197200,150001..200000,1
201721,black,420,162751,150001..200000,1
201731,black,240,194548,150001..200000,1
201732,black,398,181460,150001..200000,1
201733,black,374,165933,150001..200000,1
201734,black,378,163953,150001..200000,1
201735,black,364,177683,150001..200000,1
201736,black,420,183295,150001..200000,2
201737,black,348,170865,150001..200000,2
201738,black,456,182237,150001..200000,6
201739,black,328,182180,150001..200000,2
201741,black,268,183173,150001..200000,2
201742,black,324,183149,150001..200000,1
201743,black,226,164866,150001..200000,1
201748,black,62,158202,150001..200000,1
201749,black,130,162495,150001..200000,1
201750,black,238,151650,150001..200000,1
201753,black,24,163261,150001..200000,1
201801,black,368,185644,150001..200000,2
201802,black,274,159723,150001..200000,2
201805,black,166,185141,150001..200000,1
201806,black,230,155533,150001..200000,3
201807,black,188,187325,150001..200000,1
201808,black,576,186358,150001..200000,1
201810,black,294,187375,150001..200000,1
201811,black,234,160749,150001..200000,1
201812,black,334,166672,150001..200000,2
201813,black,188,151484,150001..200000,1
201815,black,190,195592,150001..200000,1
201817,black,98,155005,150001..200000,1
201818,black,80,171698,150001..200000,1
201822,black,1122,172677,150001..200000,32
201823,black,206,181048,150001..200000,22
201824,black,78,167497,150001..200000,25
201825,black,68,172824,150001..200000,41
201826,black,70,174679,150001..200000,38
201827,black,60,171717,150001..200000,11
201828,black,166,174329,150001..200000,54
201829,black,302,169430,150001..200000,34
201830,black,214,172941,150001..200000,31
201831,black,198,167442,150001..200000,10
201832,black,174,168463,150001..200000,21
201833,black,184,173450,150001..200000,34
201834,black,162,165724,150001..200000,23
201835,black,158,172774,150001..200000,32
201836,black,194,174759,150001..200000,26
201837,black,140,172947,150001..200000,32
201838,black,140,174559,150001..200000,16
201839,black,116,173179,150001..200000,28
201840,black,376,175940,150001..200000,24
201841,black,174,169596,150001..200000,25
201842,black,208,172129,150001..200000,31
201843,black,104,176951,150001..200000,38
