yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201623,black,350,339947,300000+,1
201625,black,866,361159,300000+,1
201629,black,900,335011,300000+,1
201630,black,1008,311079,300000+,1
201631,black,1012,950427,300000+,6
201632,black,838,1011317,300000+,6
201633,black,682,973344,300000+,7
201634,black,482,987259,300000+,7
201635,black,588,1036443,300000+,7
201636,black,746,1074357,300000+,7
201637,black,776,1040069,300000+,7
201638,black,610,1103271,300000+,7
201639,black,580,1146801,300000+,7
201640,black,428,1172471,300000+,7
201641,black,266,1205677,300000+,7
201642,black,368,1232654,300000+,7
201643,black,434,1264498,300000+,7
201644,black,696,1295174,300000+,7
201645,black,720,1221475,300000+,6
201646,black,762,874671,300000+,1
201647,black,646,968533,300000+,1
201701,black,620,434621,300000+,1
201702,black,796,1012935,300000+,36
201703,black,646,802485,300000+,11
201712,black,644,1375973,300000+,1
201713,black,668,1781079,300000+,1
201714,black,668,1257242,300000+,1
201715,black,510,1952466,300000+,1
201716,black,374,2609498,300000+,1
201717,black,552,519378,300000+,1
201718,black,496,1331765,300000+,1
201719,black,442,2269621,300000+,1
201720,black,494,1455564,300000+,3
201721,black,420,1218420,300000+,4
201722,black,276,1837579,300000+,3
201723,black,380,2867195,300000+,2
201724,black,408,2940886,300000+,2
201725,black,390,3116178,300000+,2
201726,black,498,2444032,300000+,3
201727,black,454,2656358,300000+,3
201728,black,986,2349625,300000+,4
201729,black,496,2859964,300000+,3
201730,black,392,1515469,300000+,4
201731,black,240,1199745,300000+,4
201732,black,398,1270494,300000+,4
201733,black,374,1815547,300000+,3
201734,black,378,1575062,300000+,5
201735,black,364,1580040,300000+,5
201736,black,420,2272569,300000+,9
201737,black,348,755184,300000+,29
201738,black,456,890409,300000+,38
201739,black,328,1061496,300000+,10
201740,black,310,1287207,300000+,10
201741,black,268,1198624,300000+,10
201742,black,324,1323631,300000+,9
201743,black,226,1297201,300000+,9
201744,black,152,1245118,300000+,10
201748,black,62,1825384,300000+,13
201749,black,130,1514693,300000+,15
201750,black,238,1907881,300000+,14
201751,black,134,2010998,300000+,15
201752,black,164,2201707,300000+,15
201753,black,24,3448127,300000+,7
201801,black,368,2818025,300000+,9
201802,black,274,3224025,300000+,8
201803,black,232,2122459,300000+,11
201804,black,686,2259088,300000+,12
201805,black,166,2365915,300000+,12
201806,black,230,1807356,300000+,14
201807,black,188,1751265,300000+,11
201808,black,576,1681901,300000+,12
201809,black,212,1844634,300000+,12
201810,black,294,2174542,300000+,13
201811,black,234,1688713,300000+,20
201812,black,334,1709429,300000+,16
201813,black,188,1814356,300000+,16
201814,black,264,2320365,300000+,14
201815,black,190,2061376,300000+,63
201816,black,80,1865492,300000+,12
201817,black,98,2566484,300000+,11
201818,black,80,2090669,300000+,10
201822,black,1122,2023255,300000+,94
201823,black,206,1693544,300000+,111
201824,black,78,1906547,300000+,102
201825,black,68,1766459,300000+,109
201826,black,70,1902849,300000+,112
201827,black,60,1967822,300000+,100
201828,black,166,2099898,300000+,100
201829,black,302,2015639,300000+,107
201830,black,214,1807722,300000+,113
201831,black,198,2046072,300000+,96
201832,black,174,2279858,300000+,90
201833,black,184,2136253,300000+,87
201834,black,162,1729163,300000+,96
201835,black,158,1495239,300000+,133
201836,black,194,1777207,300000+,113
201837,black,140,1882990,300000+,115
201838,black,140,1658176,300000+,127
201839,black,116,1708354,300000+,107
201840,black,376,1521264,300000+,90
201841,black,174,1320905,300000+,86
201842,black,208,1379902,300000+,75
201843,black,104,1480076,300000+,78
