yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,blue,224,33,0..1000,1
201712,blue,252,28,0..1000,1
201713,blue,228,40,0..1000,1
201714,blue,360,41,0..1000,1
201715,blue,116,65,0..1000,1
201716,blue,98,63,0..1000,1
201717,blue,234,64,0..1000,1
201718,blue,438,63,0..1000,1
201719,blue,192,73,0..1000,1
201720,blue,176,78,0..1000,1
201721,blue,156,89,0..1000,1
201722,blue,130,90,0..1000,1
201723,blue,182,123,0..1000,1
201724,blue,158,166,0..1000,1
201725,blue,144,174,0..1000,1
201726,blue,94,182,0..1000,1
201727,blue,160,149,0..1000,1
201728,blue,140,367,0..1000,1
201729,blue,110,131,0..1000,1
201730,blue,114,141,0..1000,1
201731,blue,98,135,0..1000,1
201732,blue,114,104,0..1000,1
201733,blue,106,89,0..1000,1
201734,blue,84,83,0..1000,1
201735,blue,132,183,0..1000,1
201736,blue,100,139,0..1000,1
201737,blue,104,187,0..1000,1
201738,blue,110,142,0..1000,1
201739,blue,162,126,0..1000,1
201740,blue,84,115,0..1000,1
201741,blue,114,166,0..1000,1
201742,blue,142,204,0..1000,1
201743,blue,102,362,0..1000,1
201744,blue,42,234,0..1000,1
201752,blue,68,543,0..1000,1
201753,blue,12,351,0..1000,1
201801,blue,76,378,0..1000,1
201802,blue,118,207,0..1000,1
201803,blue,66,155,0..1000,1
201804,blue,62,120,0..1000,1
201805,blue,60,85,0..1000,1
201806,blue,54,91,0..1000,1
201807,blue,76,84,0..1000,1
201808,blue,94,58,0..1000,1
201809,blue,66,37,0..1000,1
201810,blue,72,52,0..1000,1
201811,blue,110,65,0..1000,2
201812,blue,106,101,0..1000,2
201813,blue,156,63,0..1000,2
201814,blue,74,80,0..1000,2
201815,blue,74,171,0..1000,3
201816,blue,40,244,0..1000,3
201817,blue,44,230,0..1000,3
201818,blue,18,309,0..1000,3
201822,blue,26,312,0..1000,613
201823,blue,70,315,0..1000,647
201824,blue,26,324,0..1000,640
201825,blue,18,341,0..1000,696
201826,blue,32,337,0..1000,680
201827,blue,32,382,0..1000,719
201828,blue,56,381,0..1000,779
201829,blue,66,329,0..1000,705
201830,blue,64,395,0..1000,837
201831,blue,66,445,0..1000,981
201832,blue,84,362,0..1000,858
201833,blue,66,362,0..1000,922
201834,blue,40,390,0..1000,960
201835,blue,78,384,0..1000,975
201836,blue,46,359,0..1000,947
201837,blue,50,366,0..1000,906
201838,blue,50,329,0..1000,933
201839,blue,50,285,0..1000,971
201840,blue,74,303,0..1000,964
201841,blue,84,334,0..1000,873
201842,blue,72,397,0..1000,841
201843,blue,40,442,0..1000,805
