yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201631,blue,352,950427,300000+,6
201632,blue,408,1011317,300000+,6
201633,blue,310,1051610,300000+,6
201634,blue,206,1093169,300000+,6
201635,blue,248,1116492,300000+,6
201636,blue,264,1136215,300000+,6
201637,blue,214,1154294,300000+,6
201638,blue,284,1171633,300000+,6
201639,blue,264,1197100,300000+,6
201640,blue,158,1213635,300000+,6
201641,blue,84,1241102,300000+,6
201642,blue,144,1265382,300000+,6
201643,blue,266,1295338,300000+,6
201644,blue,200,1325878,300000+,6
201645,blue,182,1356186,300000+,5
201702,blue,194,1552758,300000+,1
201708,blue,154,1204230,300000+,3
201709,blue,272,1304446,300000+,3
201712,blue,252,1375973,300000+,1
201713,blue,228,1781079,300000+,1
201720,blue,176,343559,300000+,1
201721,blue,156,454803,300000+,1
201722,blue,130,1110931,300000+,5
201737,blue,104,860502,300000+,2
201738,blue,110,1380264,300000+,2
201741,blue,114,473214,300000+,3
201742,blue,142,561046,300000+,3
201743,blue,102,864927,300000+,1
201744,blue,42,1066154,300000+,1
201748,blue,10,1440707,300000+,2
201749,blue,80,2622266,300000+,1
201750,blue,78,2848578,300000+,1
201751,blue,60,1212826,300000+,1
201752,blue,68,1904218,300000+,1
201753,blue,12,2039288,300000+,1
201801,blue,76,2124335,300000+,1
201802,blue,118,2290865,300000+,1
201803,blue,66,1199898,300000+,4
201804,blue,62,1328946,300000+,4
201805,blue,60,3491148,300000+,5
201806,blue,54,1822420,300000+,2
201807,blue,76,1689754,300000+,3
201808,blue,94,2433498,300000+,4
201809,blue,66,2570157,300000+,2
201810,blue,72,1622225,300000+,2
201811,blue,110,1239343,300000+,2
201812,blue,106,1053048,300000+,2
201813,blue,156,920972,300000+,4
201814,blue,74,4376503,300000+,2
201816,blue,40,999189,300000+,1
201817,blue,44,1097289,300000+,2
201818,blue,18,1279332,300000+,2
201822,blue,26,979977,300000+,32
201823,blue,70,802453,300000+,46
201824,blue,26,806555,300000+,36
201825,blue,18,883540,300000+,37
201826,blue,32,859709,300000+,43
201827,blue,32,931858,300000+,43
201828,blue,56,1456700,300000+,45
201829,blue,66,778792,300000+,47
201830,blue,64,800816,300000+,56
201831,blue,66,882213,300000+,39
201832,blue,84,892465,300000+,46
201833,blue,66,749373,300000+,42
201834,blue,40,961032,300000+,34
201835,blue,78,937877,300000+,65
201836,blue,46,1049731,300000+,54
201837,blue,50,1191006,300000+,50
201838,blue,50,1116669,300000+,67
201839,blue,50,1009888,300000+,54
201840,blue,74,838294,300000+,49
201841,blue,84,849289,300000+,51
201842,blue,72,955462,300000+,45
201843,blue,40,835804,300000+,52
