yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201714,bright,6,722,0..1000,1
201715,bright,10,789,0..1000,1
201716,bright,9,507,0..1000,1
201717,bright,4,598,0..1000,1
201718,bright,8,370,0..1000,1
201719,bright,9,641,0..1000,1
201720,bright,6,358,0..1000,1
201721,bright,15,568,0..1000,1
201722,bright,9,676,0..1000,1
201723,bright,9,823,0..1000,1
201724,bright,9,523,0..1000,1
201725,bright,11,368,0..1000,1
201726,bright,5,363,0..1000,1
201727,bright,8,489,0..1000,1
201728,bright,19,691,0..1000,1
201729,bright,5,775,0..1000,1
201730,bright,4,840,0..1000,1
201733,bright,7,999,0..1000,1
201753,bright,0,898,0..1000,1
201801,bright,5,995,0..1000,1
201802,bright,8,500,0..1000,1
201803,bright,12,462,0..1000,1
201804,bright,8,295,0..1000,1
201805,bright,6,265,0..1000,1
201806,bright,6,338,0..1000,1
201807,bright,7,459,0..1000,1
201808,bright,11,433,0..1000,1
201809,bright,5,289,0..1000,1
201810,bright,5,263,0..1000,1
201811,bright,3,254,0..1000,1
201812,bright,6,251,0..1000,1
201813,bright,11,306,0..1000,1
201814,bright,6,305,0..1000,1
201815,bright,8,489,0..1000,1
201816,bright,2,567,0..1000,2
201817,bright,0,537,0..1000,2
201818,bright,0,432,0..1000,2
201822,bright,2,555,0..1000,86
201823,bright,6,482,0..1000,85
201824,bright,1,500,0..1000,86
201825,bright,3,384,0..1000,86
201826,bright,1,449,0..1000,86
201827,bright,1,406,0..1000,86
201828,bright,2,407,0..1000,86
201829,bright,3,690,0..1000,82
201830,bright,7,487,0..1000,86
201831,bright,5,523,0..1000,86
201832,bright,2,431,0..1000,86
201833,bright,2,456,0..1000,86
201834,bright,5,465,0..1000,86
201835,bright,5,399,0..1000,86
201836,bright,2,350,0..1000,86
201837,bright,3,584,0..1000,86
201838,bright,8,481,0..1000,86
201839,bright,4,693,0..1000,88
201840,bright,7,767,0..1000,63
201841,bright,2,260,0..1000,18
201842,bright,3,425,0..1000,19
201843,bright,2,594,0..1000,32
