yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201718,bright,8,1088625,300000+,4
201719,bright,9,1418395,300000+,4
201720,bright,6,1751515,300000+,6
201721,bright,15,2189283,300000+,4
201722,bright,9,2090478,300000+,5
201723,bright,9,2247565,300000+,5
201724,bright,9,2421482,300000+,5
201725,bright,11,2554771,300000+,5
201726,bright,5,3135174,300000+,4
201727,bright,8,3154230,300000+,4
201728,bright,19,3195413,300000+,4
201729,bright,5,2653325,300000+,5
201730,bright,4,3269617,300000+,4
201731,bright,5,3306380,300000+,4
201732,bright,13,3348133,300000+,4
201733,bright,7,3386598,300000+,4
201734,bright,10,3423343,300000+,4
201735,bright,6,3452776,300000+,4
201736,bright,11,3472603,300000+,4
201737,bright,12,1929874,300000+,3
201738,bright,15,2383866,300000+,3
201739,bright,8,2865274,300000+,4
201740,bright,5,2396493,300000+,3
201741,bright,7,2898502,300000+,4
201742,bright,6,2983204,300000+,3
201743,bright,5,3300023,300000+,4
201744,bright,2,3379620,300000+,3
201748,bright,1,3854889,300000+,3
201749,bright,7,3761239,300000+,4
201750,bright,3,3939067,300000+,3
201751,bright,3,4055415,300000+,4
201752,bright,4,4123073,300000+,3
201753,bright,0,4125115,300000+,3
201801,bright,5,4054203,300000+,3
201802,bright,8,4148094,300000+,4
201803,bright,12,2997082,300000+,4
201804,bright,8,3205860,300000+,4
201805,bright,6,2914906,300000+,6
201806,bright,6,2813168,300000+,7
201807,bright,7,2731195,300000+,7
201808,bright,11,3128230,300000+,5
201809,bright,5,3297938,300000+,5
201810,bright,5,2853193,300000+,5
201811,bright,3,3119544,300000+,5
201812,bright,6,3249500,300000+,4
201813,bright,11,3629984,300000+,1
201814,bright,6,3351658,300000+,6
201815,bright,8,3235307,300000+,4
201816,bright,2,3348727,300000+,4
201817,bright,0,3260296,300000+,5
201818,bright,0,3451261,300000+,3
201822,bright,2,2247819,300000+,22
201823,bright,6,2565211,300000+,19
201824,bright,1,3915520,300000+,10
201825,bright,3,3644734,300000+,11
201826,bright,1,3789264,300000+,11
201827,bright,1,3865753,300000+,8
201828,bright,2,4155970,300000+,9
201829,bright,3,4458897,300000+,7
201830,bright,7,4508993,300000+,9
201831,bright,5,2296039,300000+,8
201832,bright,2,2573294,300000+,9
201833,bright,2,1625916,300000+,12
201834,bright,5,1569050,300000+,13
201835,bright,5,1718348,300000+,18
201836,bright,2,1174582,300000+,16
201837,bright,3,1818038,300000+,18
201838,bright,8,1206720,300000+,27
201839,bright,4,1855940,300000+,17
201840,bright,7,1356311,300000+,9
201841,bright,2,1889910,300000+,16
201842,bright,3,1419932,300000+,15
201843,bright,2,1989849,300000+,30
