yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201731,burgundy,1,3544,001001..5000,1
201732,burgundy,9,1946,001001..5000,1
201733,burgundy,1,2623,001001..5000,1
201734,burgundy,1,2128,001001..5000,1
201735,burgundy,1,2053,001001..5000,1
201736,burgundy,4,2192,001001..5000,1
201737,burgundy,3,2352,001001..5000,1
201738,burgundy,3,1745,001001..5000,1
201739,burgundy,5,2040,001001..5000,1
201740,burgundy,2,2094,001001..5000,1
201741,burgundy,22,2063,001001..5000,1
201748,burgundy,0,3082,001001..5000,1
201749,burgundy,3,4584,001001..5000,1
201752,burgundy,0,3131,001001..5000,1
201753,burgundy,1,3099,001001..5000,1
201801,burgundy,3,3439,001001..5000,1
201802,burgundy,1,2749,001001..5000,1
201803,burgundy,2,2684,001001..5000,1
201804,burgundy,0,1502,001001..5000,1
201805,burgundy,1,2198,001001..5000,1
201806,burgundy,1,1865,001001..5000,1
201807,burgundy,1,2052,001001..5000,1
201808,burgundy,5,3235,001001..5000,2
201809,burgundy,2,1325,001001..5000,1
201810,burgundy,0,1851,001001..5000,1
201811,burgundy,3,1821,001001..5000,1
201812,burgundy,1,1643,001001..5000,1
201813,burgundy,6,1854,001001..5000,1
201814,burgundy,2,1821,001001..5000,1
201815,burgundy,4,1558,001001..5000,1
201816,burgundy,0,1701,001001..5000,1
201817,burgundy,2,1859,001001..5000,1
201818,burgundy,1,1746,001001..5000,1
201822,burgundy,0,2453,001001..5000,89
201823,burgundy,0,2130,001001..5000,88
201824,burgundy,0,2164,001001..5000,86
201825,burgundy,0,2549,001001..5000,56
201826,burgundy,0,2375,001001..5000,50
201827,burgundy,0,2559,001001..5000,56
201828,burgundy,1,2586,001001..5000,54
201829,burgundy,0,2542,001001..5000,51
201830,burgundy,0,2758,001001..5000,52
201831,burgundy,4,2188,001001..5000,50
201832,burgundy,0,2388,001001..5000,55
201833,burgundy,2,2245,001001..5000,53
201834,burgundy,0,2663,001001..5000,58
201835,burgundy,0,2730,001001..5000,59
201836,burgundy,0,1815,001001..5000,97
201837,burgundy,3,2024,001001..5000,123
201838,burgundy,0,2052,001001..5000,142
201839,burgundy,0,2144,001001..5000,150
201840,burgundy,1,2335,001001..5000,157
201841,burgundy,0,2679,001001..5000,174
201842,burgundy,3,3256,001001..5000,184
201843,burgundy,0,3087,001001..5000,128
