yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201717,check,153,10152,010001..20000,1
201718,check,161,13704,010001..20000,1
201721,check,130,14005,010001..20000,1
201726,check,182,11190,010001..20000,1
201727,check,178,14146,010001..20000,1
201728,check,103,14848,010001..20000,1
201729,check,114,15084,010001..20000,1
201730,check,82,11944,010001..20000,1
201731,check,69,14187,010001..20000,1
201732,check,105,19768,010001..20000,1
201733,check,97,12080,010001..20000,1
201735,check,95,13117,010001..20000,1
201742,check,260,12120,010001..20000,3
201743,check,180,15183,010001..20000,1
201748,check,24,14714,010001..20000,2
201749,check,84,16438,010001..20000,2
201750,check,99,13829,010001..20000,2
201751,check,81,14094,010001..20000,2
201802,check,120,14192,010001..20000,1
201803,check,117,14549,010001..20000,1
201804,check,162,15985,010001..20000,2
201805,check,88,16806,010001..20000,3
201806,check,100,11945,010001..20000,2
201807,check,90,17588,010001..20000,2
201808,check,90,15219,010001..20000,1
201810,check,580,15472,010001..20000,2
201811,check,594,16504,010001..20000,1
201812,check,519,15120,010001..20000,1
201813,check,485,15523,010001..20000,1
201814,check,504,11192,010001..20000,2
201815,check,550,16310,010001..20000,2
201816,check,303,16694,010001..20000,2
201817,check,290,18080,010001..20000,2
201822,check,211,14437,010001..20000,160
201823,check,649,14131,010001..20000,253
201824,check,227,13646,010001..20000,204
201825,check,189,13175,010001..20000,181
201826,check,242,14585,010001..20000,269
201827,check,261,15216,010001..20000,241
201828,check,533,15009,010001..20000,289
201829,check,615,15193,010001..20000,329
201830,check,598,14519,010001..20000,244
201831,check,556,13456,010001..20000,160
201832,check,565,12779,010001..20000,139
201833,check,537,13569,010001..20000,156
201834,check,436,14217,010001..20000,210
201835,check,626,15101,010001..20000,251
201836,check,516,15421,010001..20000,290
201837,check,511,15122,010001..20000,438
201838,check,586,13663,010001..20000,442
201839,check,536,14031,010001..20000,410
201840,check,517,14672,010001..20000,474
201841,check,570,14607,010001..20000,429
201842,check,583,13742,010001..20000,660
201843,check,333,13448,010001..20000,841
