yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201702,check,144,1552758,300000+,1
201712,check,149,1375973,300000+,1
201713,check,127,1781079,300000+,1
201721,check,130,300131,300000+,1
201722,check,105,1050415,300000+,16
201726,check,182,329076,300000+,1
201731,check,69,842439,300000+,1
201736,check,126,514102,300000+,1
201737,check,119,332384,300000+,1
201738,check,113,459585,300000+,3
201739,check,120,393709,300000+,3
201740,check,153,484427,300000+,5
201741,check,134,573786,300000+,5
201742,check,260,556824,300000+,4
201743,check,180,852323,300000+,3
201744,check,41,632018,300000+,4
201748,check,24,2209974,300000+,8
201749,check,84,962203,300000+,7
201750,check,99,980611,300000+,7
201751,check,81,1400026,300000+,8
201752,check,64,1541316,300000+,7
201801,check,103,3320179,300000+,2
201802,check,120,3131824,300000+,2
201803,check,117,1739627,300000+,4
201804,check,162,2489544,300000+,7
201805,check,88,3588961,300000+,3
201806,check,100,3972240,300000+,5
201807,check,90,4000365,300000+,4
201808,check,90,4904148,300000+,5
201809,check,334,4960539,300000+,4
201810,check,580,6194513,300000+,4
201811,check,594,4797908,300000+,4
201812,check,519,5112408,300000+,4
201813,check,485,7078594,300000+,6
201814,check,504,6811889,300000+,3
201815,check,550,6892769,300000+,2
201816,check,303,4736541,300000+,3
201817,check,290,8892188,300000+,2
201818,check,177,3125270,300000+,4
201822,check,211,1421682,300000+,52
201823,check,649,1136384,300000+,69
201824,check,227,1305997,300000+,62
201825,check,189,2265756,300000+,52
201826,check,242,1293063,300000+,70
201827,check,261,1188559,300000+,71
201828,check,533,2269755,300000+,33
201829,check,615,1995595,300000+,38
201830,check,598,2021036,300000+,40
201831,check,556,1765631,300000+,32
201832,check,565,2430500,300000+,35
201833,check,537,1581842,300000+,33
201834,check,436,1587786,300000+,26
201835,check,626,1375388,300000+,33
201836,check,516,1618611,300000+,26
201837,check,511,1162968,300000+,38
201838,check,586,973096,300000+,50
201839,check,536,1482854,300000+,28
201840,check,517,1417415,300000+,35
201841,check,570,1977418,300000+,23
201842,check,583,1591939,300000+,28
201843,check,333,1439347,300000+,30
