yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201522,cotton,50,35050,030001..40000,1
201544,cotton,62,32208,030001..40000,1
201545,cotton,90,30308,030001..40000,1
201552,cotton,32,37284,030001..40000,1
201624,cotton,44,35179,030001..40000,3
201625,cotton,198,33019,030001..40000,5
201630,cotton,216,34941,030001..40000,1
201640,cotton,36,34113,030001..40000,1
201641,cotton,46,31200,030001..40000,1
201642,cotton,52,39185,030001..40000,1
201645,cotton,118,38989,030001..40000,1
201647,cotton,110,37594,030001..40000,1
201648,cotton,64,30103,030001..40000,1
201702,cotton,106,32338,030001..40000,2
201703,cotton,78,30268,030001..40000,1
201705,cotton,88,32951,030001..40000,1
201706,cotton,108,39625,030001..40000,1
201708,cotton,108,32051,030001..40000,1
201712,cotton,88,33518,030001..40000,1
201721,cotton,66,37527,030001..40000,1
201725,cotton,28,34132,030001..40000,1
201726,cotton,52,37731,030001..40000,1
201727,cotton,66,39591,030001..40000,1
201736,cotton,62,35831,030001..40000,1
201741,cotton,74,39466,030001..40000,1
201742,cotton,32,34836,030001..40000,1
201743,cotton,60,34437,030001..40000,1
201749,cotton,28,32258,030001..40000,1
201751,cotton,18,30730,030001..40000,1
201804,cotton,28,33066,030001..40000,1
201806,cotton,14,33692,030001..40000,1
201807,cotton,38,37876,030001..40000,1
201808,cotton,42,37016,030001..40000,2
201811,cotton,24,36972,030001..40000,1
201812,cotton,46,36051,030001..40000,2
201813,cotton,34,37162,030001..40000,1
201814,cotton,32,33670,030001..40000,3
201815,cotton,46,34365,030001..40000,2
201816,cotton,18,34104,030001..40000,1
201817,cotton,22,38547,030001..40000,1
201818,cotton,10,36155,030001..40000,2
201822,cotton,20,35267,030001..40000,57
201823,cotton,44,35118,030001..40000,39
201824,cotton,16,34069,030001..40000,72
201825,cotton,4,34193,030001..40000,111
201826,cotton,14,35500,030001..40000,64
201827,cotton,18,34026,030001..40000,55
201828,cotton,38,34461,030001..40000,43
201829,cotton,20,35656,030001..40000,38
201830,cotton,30,34614,030001..40000,65
201831,cotton,54,34660,030001..40000,71
201832,cotton,26,34116,030001..40000,87
201833,cotton,30,34715,030001..40000,112
201834,cotton,36,34439,030001..40000,109
201835,cotton,34,33507,030001..40000,156
201836,cotton,12,34313,030001..40000,67
201837,cotton,38,34675,030001..40000,73
201838,cotton,28,35138,030001..40000,75
201839,cotton,34,34877,030001..40000,150
201840,cotton,32,35482,030001..40000,118
201841,cotton,22,34201,030001..40000,61
201842,cotton,40,33585,030001..40000,123
201843,cotton,12,34415,030001..40000,90
