yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201631,cotton,206,950427,300000+,6
201632,cotton,180,1011317,300000+,6
201633,cotton,132,1051610,300000+,6
201634,cotton,82,1093169,300000+,6
201635,cotton,114,1116492,300000+,6
201636,cotton,102,1136215,300000+,6
201637,cotton,92,1154294,300000+,6
201638,cotton,64,1171633,300000+,6
201639,cotton,60,1197100,300000+,6
201640,cotton,36,1213635,300000+,6
201641,cotton,46,1241102,300000+,6
201642,cotton,52,1265382,300000+,6
201643,cotton,82,1295338,300000+,6
201644,cotton,112,1325878,300000+,6
201645,cotton,118,1356186,300000+,5
201704,cotton,92,629995,300000+,1
201705,cotton,88,906311,300000+,1
201706,cotton,108,1149279,300000+,1
201710,cotton,124,355608,300000+,1
201718,cotton,52,721713,300000+,1
201719,cotton,62,1119042,300000+,1
201720,cotton,40,1174271,300000+,5
201721,cotton,66,1586478,300000+,4
201722,cotton,48,1599111,300000+,5
201723,cotton,56,1771834,300000+,4
201724,cotton,50,1042472,300000+,4
201725,cotton,28,1464537,300000+,4
201726,cotton,52,1769013,300000+,4
201727,cotton,66,2394217,300000+,3
201728,cotton,86,2296651,300000+,4
201729,cotton,54,2601770,300000+,4
201730,cotton,66,2893823,300000+,4
201731,cotton,48,2620706,300000+,4
201732,cotton,68,3577447,300000+,3
201733,cotton,50,2281307,300000+,3
201734,cotton,40,1574552,300000+,5
201735,cotton,48,1348669,300000+,6
201736,cotton,62,1867476,300000+,14
201737,cotton,84,755054,300000+,52
201738,cotton,102,900180,300000+,54
201739,cotton,98,1528097,300000+,9
201740,cotton,34,1824538,300000+,8
201741,cotton,74,1764355,300000+,7
201742,cotton,32,2109223,300000+,6
201743,cotton,60,1980553,300000+,7
201744,cotton,16,1097673,300000+,9
201748,cotton,8,2413602,300000+,10
201749,cotton,28,1253403,300000+,10
201750,cotton,36,1292977,300000+,11
201751,cotton,18,1569884,300000+,12
201752,cotton,34,1725697,300000+,11
201753,cotton,10,1850503,300000+,3
201801,cotton,38,2947800,300000+,5
201802,cotton,62,3062789,300000+,5
201803,cotton,36,2521912,300000+,8
201804,cotton,28,2776273,300000+,8
201805,cotton,40,3251341,300000+,13
201806,cotton,14,3026861,300000+,8
201807,cotton,38,3459401,300000+,7
201808,cotton,42,3139293,300000+,8
201809,cotton,46,3449655,300000+,7
201810,cotton,36,2000490,300000+,8
201811,cotton,24,1672596,300000+,9
201812,cotton,46,1587556,300000+,14
201813,cotton,34,2614539,300000+,14
201814,cotton,32,2169113,300000+,12
201815,cotton,46,1219498,300000+,10
201816,cotton,18,973555,300000+,8
201817,cotton,22,1523590,300000+,9
201818,cotton,10,2015632,300000+,7
201822,cotton,20,2007945,300000+,90
201823,cotton,44,1825958,300000+,106
201824,cotton,16,1961576,300000+,98
201825,cotton,4,2112671,300000+,90
201826,cotton,14,2098193,300000+,100
201827,cotton,18,2512627,300000+,79
201828,cotton,38,2163330,300000+,103
201829,cotton,20,2165418,300000+,104
201830,cotton,30,1977066,300000+,114
201831,cotton,54,1817151,300000+,115
201832,cotton,26,1910211,300000+,120
201833,cotton,30,1792170,300000+,103
201834,cotton,36,1732153,300000+,108
201835,cotton,34,1499261,300000+,124
201836,cotton,12,1846073,300000+,106
201837,cotton,38,1564027,300000+,106
201838,cotton,28,1439171,300000+,114
201839,cotton,34,1669959,300000+,88
201840,cotton,32,1456745,300000+,100
201841,cotton,22,1323570,300000+,107
201842,cotton,40,1281272,300000+,81
201843,cotton,12,1293289,300000+,120
