yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201514,crop top,13,19115,010001..20000,1
201523,crop top,12,18822,010001..20000,1
201524,crop top,12,17512,010001..20000,1
201526,crop top,7,15623,010001..20000,1
201530,crop top,7,13720,010001..20000,1
201532,crop top,8,11651,010001..20000,1
201534,crop top,14,15291,010001..20000,1
201535,crop top,6,12823,010001..20000,1
201538,crop top,10,14668,010001..20000,1
201539,crop top,10,12168,010001..20000,1
201547,crop top,3,19828,010001..20000,1
201548,crop top,0,19983,010001..20000,1
201603,crop top,2,13671,010001..20000,1
201604,crop top,9,16208,010001..20000,1
201605,crop top,8,14766,010001..20000,1
201606,crop top,1,18138,010001..20000,1
201608,crop top,3,18927,010001..20000,1
201609,crop top,0,15991,010001..20000,1
201612,crop top,11,16516,010001..20000,1
201613,crop top,8,15188,010001..20000,1
201614,crop top,9,17767,010001..20000,1
201615,crop top,4,15751,010001..20000,1
201619,crop top,9,13560,010001..20000,1
201620,crop top,5,14398,010001..20000,1
201621,crop top,9,17206,010001..20000,1
201622,crop top,10,14802,010001..20000,1
201623,crop top,16,19356,010001..20000,1
201626,crop top,4,14854,010001..20000,1
201627,crop top,11,15783,010001..20000,1
201628,crop top,12,12873,010001..20000,1
201630,crop top,8,13405,010001..20000,1
201631,crop top,9,11439,010001..20000,1
201632,crop top,6,18916,010001..20000,1
201634,crop top,3,19246,010001..20000,1
201638,crop top,14,19333,010001..20000,1
201701,crop top,29,18400,010001..20000,1
201738,crop top,11,14504,010001..20000,1
201739,crop top,3,12528,010001..20000,1
201752,crop top,1,18759,010001..20000,1
201822,crop top,2,10675,010001..20000,4
201823,crop top,38,10481,010001..20000,5
201830,crop top,9,12296,010001..20000,3
201831,crop top,2,17793,010001..20000,19
201832,crop top,1,10757,010001..20000,7
201833,crop top,0,11567,010001..20000,9
201834,crop top,2,14948,010001..20000,10
201836,crop top,3,13288,010001..20000,3
201837,crop top,3,11774,010001..20000,4
201838,crop top,37,15173,010001..20000,11
201839,crop top,3,12991,010001..20000,12
201840,crop top,3,13949,010001..20000,14
201841,crop top,4,14619,010001..20000,11
201842,crop top,4,14792,010001..20000,15
201843,crop top,1,14488,010001..20000,13
