yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,fade,8,1216,001001..5000,1
201712,fade,13,2134,001001..5000,1
201713,fade,6,1590,001001..5000,1
201714,fade,4,1294,001001..5000,1
201715,fade,3,1118,001001..5000,1
201716,fade,9,2840,001001..5000,2
201717,fade,9,1428,001001..5000,1
201718,fade,10,1346,001001..5000,1
201719,fade,41,1236,001001..5000,1
201720,fade,3,3138,001001..5000,2
201721,fade,3,2248,001001..5000,2
201722,fade,53,2561,001001..5000,2
201723,fade,2,2292,001001..5000,2
201724,fade,4,3825,001001..5000,1
201725,fade,2,2619,001001..5000,3
201726,fade,4,2720,001001..5000,3
201727,fade,5,2391,001001..5000,2
201728,fade,2,2442,001001..5000,2
201729,fade,2,2598,001001..5000,3
201730,fade,6,2081,001001..5000,2
201731,fade,3,2369,001001..5000,3
201732,fade,3,2403,001001..5000,3
201733,fade,4,2660,001001..5000,3
201734,fade,6,2529,001001..5000,3
201735,fade,1,2659,001001..5000,3
201736,fade,14,3193,001001..5000,3
201737,fade,1,2402,001001..5000,2
201738,fade,4,3129,001001..5000,3
201739,fade,1,2600,001001..5000,2
201740,fade,1,2642,001001..5000,2
201741,fade,6,3089,001001..5000,2
201742,fade,2,3493,001001..5000,2
201743,fade,6,3324,001001..5000,2
201744,fade,5,2173,001001..5000,2
201748,fade,0,3196,001001..5000,2
201749,fade,2,3555,001001..5000,2
201750,fade,1,4090,001001..5000,2
201751,fade,3,2948,001001..5000,2
201752,fade,2,1736,001001..5000,2
201753,fade,1,2040,001001..5000,1
201801,fade,4,2074,001001..5000,1
201802,fade,1,2030,001001..5000,1
201803,fade,2,2047,001001..5000,1
201804,fade,2,1892,001001..5000,1
201805,fade,4,1782,001001..5000,1
201806,fade,1,1677,001001..5000,1
201807,fade,4,2265,001001..5000,1
201808,fade,2,1623,001001..5000,1
201809,fade,3,2673,001001..5000,2
201810,fade,0,3065,001001..5000,2
201811,fade,2,2927,001001..5000,3
201812,fade,7,2482,001001..5000,3
201813,fade,5,2567,001001..5000,3
201814,fade,3,2698,001001..5000,3
201815,fade,1,2395,001001..5000,3
201816,fade,1,3332,001001..5000,2
201817,fade,2,2892,001001..5000,3
201818,fade,1,1934,001001..5000,2
201822,fade,0,1807,001001..5000,108
201823,fade,4,1985,001001..5000,108
201824,fade,0,2356,001001..5000,109
201825,fade,1,2053,001001..5000,129
201826,fade,1,1934,001001..5000,142
201827,fade,1,1507,001001..5000,155
201828,fade,2,1864,001001..5000,189
201829,fade,3,1599,001001..5000,152
201830,fade,2,1525,001001..5000,153
201831,fade,1,1394,001001..5000,150
201832,fade,4,1796,001001..5000,181
201833,fade,4,1301,001001..5000,169
201834,fade,6,2143,001001..5000,16
201835,fade,4,1576,001001..5000,170
201836,fade,3,1480,001001..5000,25
201837,fade,5,1466,001001..5000,173
201838,fade,1,1789,001001..5000,191
201839,fade,6,1582,001001..5000,185
201840,fade,4,2191,001001..5000,184
201841,fade,2,2620,001001..5000,186
201842,fade,2,3167,001001..5000,186
201843,fade,1,3013,001001..5000,181
