yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201713,floral,56,16093,010001..20000,1
201714,floral,46,13260,010001..20000,1
201715,floral,37,15100,010001..20000,1
201717,floral,70,13586,010001..20000,3
201718,floral,60,13225,010001..20000,3
201723,floral,38,17279,010001..20000,1
201727,floral,31,10027,010001..20000,1
201728,floral,48,14533,010001..20000,1
201729,floral,42,15084,010001..20000,1
201730,floral,36,11944,010001..20000,1
201731,floral,18,14187,010001..20000,1
201735,floral,18,13353,010001..20000,1
201736,floral,32,12892,010001..20000,2
201737,floral,52,15842,010001..20000,2
201738,floral,35,13432,010001..20000,2
201739,floral,31,13375,010001..20000,2
201740,floral,27,11789,010001..20000,1
201741,floral,37,12355,010001..20000,1
201742,floral,45,13016,010001..20000,3
201743,floral,46,19209,010001..20000,1
201744,floral,15,19773,010001..20000,1
201748,floral,12,11820,010001..20000,2
201749,floral,14,12181,010001..20000,2
201750,floral,12,11876,010001..20000,1
201751,floral,14,13862,010001..20000,2
201752,floral,19,18759,010001..20000,1
201753,floral,2,16318,010001..20000,2
201801,floral,15,15338,010001..20000,2
201802,floral,33,12213,010001..20000,3
201803,floral,38,12215,010001..20000,2
201806,floral,8,10680,010001..20000,1
201807,floral,13,10107,010001..20000,1
201808,floral,19,19418,010001..20000,1
201812,floral,19,16747,010001..20000,1
201813,floral,22,18448,010001..20000,1
201814,floral,23,19087,010001..20000,1
201822,floral,12,15292,010001..20000,33
201823,floral,18,15460,010001..20000,105
201824,floral,5,13795,010001..20000,54
201825,floral,6,12726,010001..20000,64
201826,floral,9,15795,010001..20000,109
201827,floral,8,17171,010001..20000,108
201828,floral,18,16250,010001..20000,121
201829,floral,6,15782,010001..20000,134
201830,floral,20,16388,010001..20000,77
201831,floral,13,11507,010001..20000,53
201832,floral,7,11962,010001..20000,65
201833,floral,11,12163,010001..20000,152
201834,floral,9,11454,010001..20000,135
201835,floral,11,14429,010001..20000,77
201836,floral,8,15637,010001..20000,234
201837,floral,22,13293,010001..20000,284
201838,floral,19,12348,010001..20000,281
201839,floral,9,13681,010001..20000,259
201840,floral,5,16044,010001..20000,105
201841,floral,8,14999,010001..20000,112
201842,floral,11,11975,010001..20000,215
201843,floral,5,13482,010001..20000,374
