yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201547,floral,3,1240915,300000+,3
201548,floral,17,1478305,300000+,4
201549,floral,1,1884058,300000+,4
201550,floral,22,2197755,300000+,4
201551,floral,34,2496179,300000+,4
201552,floral,22,2834467,300000+,3
201601,floral,45,3038765,300000+,2
201602,floral,33,3120864,300000+,3
201603,floral,27,3190384,300000+,3
201604,floral,35,3232647,300000+,3
201605,floral,56,3258479,300000+,3
201606,floral,15,3286134,300000+,3
201607,floral,74,3310540,300000+,3
201608,floral,41,3344239,300000+,3
201609,floral,18,3379714,300000+,3
201610,floral,17,3417012,300000+,3
201611,floral,18,3456114,300000+,3
201612,floral,32,3371625,300000+,4
201613,floral,61,3411914,300000+,4
201614,floral,54,3449017,300000+,4
201615,floral,50,3462518,300000+,3
201616,floral,46,3519406,300000+,4
201617,floral,52,3556603,300000+,4
201618,floral,47,3587676,300000+,4
201619,floral,50,3626144,300000+,4
201620,floral,29,3666856,300000+,4
201621,floral,33,3103737,300000+,5
201622,floral,24,3197348,300000+,5
201623,floral,19,2458331,300000+,8
201624,floral,34,2798177,300000+,7
201625,floral,57,2839085,300000+,7
201626,floral,47,2868943,300000+,7
201627,floral,34,3034289,300000+,6
201628,floral,78,3049123,300000+,6
201629,floral,73,3073193,300000+,6
201630,floral,54,2210635,300000+,4
201631,floral,60,2171177,300000+,4
201632,floral,71,2216381,300000+,4
201633,floral,34,2303660,300000+,4
201634,floral,29,2380226,300000+,4
201635,floral,31,2442066,300000+,4
201636,floral,38,2502974,300000+,4
201637,floral,33,2443703,300000+,4
201638,floral,36,3011911,300000+,3
201639,floral,49,2395499,300000+,4
201640,floral,32,2517539,300000+,4
201641,floral,28,2603284,300000+,4
201642,floral,15,2895388,300000+,5
201643,floral,25,2528644,300000+,4
201644,floral,34,2666101,300000+,4
201645,floral,18,2583573,300000+,4
201646,floral,33,2673488,300000+,4
201647,floral,31,2784041,300000+,4
201648,floral,20,2717535,300000+,5
201701,floral,25,1653707,300000+,10
201702,floral,53,880375,300000+,5
201703,floral,40,982967,300000+,5
201704,floral,55,2164337,300000+,8
201705,floral,23,2575252,300000+,8
201706,floral,43,2749811,300000+,8
201707,floral,39,2908957,300000+,8
201708,floral,70,3042188,300000+,8
201709,floral,86,2833169,300000+,9
201710,floral,70,2606757,300000+,5
201711,floral,88,3541943,300000+,10
201712,floral,60,4075802,300000+,4
201713,floral,56,3843835,300000+,4
201714,floral,46,3740180,300000+,4
201715,floral,37,5117078,300000+,5
201716,floral,55,4952055,300000+,5
201717,floral,70,4947341,300000+,5
201718,floral,60,5151043,300000+,5
201719,floral,26,5316565,300000+,5
201720,floral,37,4727269,300000+,6
201721,floral,52,4989705,300000+,6
201722,floral,56,2147219,300000+,21
201723,floral,38,5142385,300000+,6
201724,floral,73,5965730,300000+,5
201725,floral,22,5932952,300000+,6
201726,floral,33,6192885,300000+,6
201727,floral,31,6933042,300000+,4
201728,floral,48,7275893,300000+,4
201729,floral,42,7597877,300000+,4
201730,floral,36,7868471,300000+,5
201731,floral,18,10003827,300000+,5
201732,floral,37,8305260,300000+,4
201733,floral,30,7498314,300000+,5
201734,floral,19,7814589,300000+,4
201735,floral,18,3592307,300000+,8
201736,floral,32,5485111,300000+,5
201737,floral,52,2134068,300000+,3
201738,floral,35,1143111,300000+,1
201739,floral,31,3941255,300000+,8
201740,floral,27,1742639,300000+,3
201741,floral,37,5792261,300000+,4
201742,floral,45,2991027,300000+,5
201743,floral,46,3270733,300000+,10
201744,floral,15,2827319,300000+,6
201748,floral,12,6766365,300000+,5
201749,floral,14,2123454,300000+,2
201750,floral,12,8091991,300000+,4
201751,floral,14,1946647,300000+,4
201752,floral,19,6346304,300000+,6
201753,floral,2,4327587,300000+,1
201801,floral,15,3490649,300000+,2
201802,floral,33,5887024,300000+,6
201803,floral,38,1322263,300000+,3
201804,floral,25,5301440,300000+,7
201805,floral,14,1838644,300000+,4
201806,floral,8,6064494,300000+,6
201807,floral,13,2699321,300000+,4
201808,floral,19,5899265,300000+,8
201809,floral,31,1465625,300000+,3
201810,floral,19,4479057,300000+,11
201811,floral,25,1664462,300000+,5
201812,floral,19,4400982,300000+,7
201813,floral,22,6338489,300000+,3
201814,floral,23,2907807,300000+,4
201815,floral,14,5186313,300000+,4
201816,floral,10,3327316,300000+,6
201817,floral,13,1378821,300000+,6
201818,floral,3,1453944,300000+,3
201822,floral,12,825564,300000+,30
201823,floral,18,794076,300000+,41
201824,floral,5,846285,300000+,33
201825,floral,6,1188557,300000+,25
201826,floral,9,989144,300000+,25
201827,floral,8,1723333,300000+,16
201828,floral,18,1345086,300000+,20
201829,floral,6,1335690,300000+,24
201830,floral,20,1457256,300000+,26
201831,floral,13,1803797,300000+,26
201832,floral,7,2681687,300000+,17
201833,floral,11,2437333,300000+,13
201834,floral,9,1541345,300000+,16
201835,floral,11,501248,300000+,6
201836,floral,8,556862,300000+,7
201837,floral,22,608460,300000+,14
201838,floral,19,528828,300000+,16
201839,floral,9,526961,300000+,11
201840,floral,5,503611,300000+,10
201841,floral,8,446666,300000+,24
201842,floral,11,788693,300000+,20
201843,floral,5,658672,300000+,44
