yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201735,green,30,14965,010001..20000,2
201736,green,38,16217,010001..20000,1
201737,green,26,16741,010001..20000,1
201738,green,43,13996,010001..20000,2
201741,green,39,19415,010001..20000,1
201742,green,22,15856,010001..20000,3
201743,green,26,15183,010001..20000,1
201744,green,10,18185,010001..20000,1
201748,green,3,10174,010001..20000,1
201749,green,16,16015,010001..20000,3
201750,green,22,17522,010001..20000,2
201751,green,10,16822,010001..20000,1
201752,green,15,14847,010001..20000,1
201753,green,3,15218,010001..20000,2
201801,green,66,11983,010001..20000,3
201802,green,22,12999,010001..20000,3
201803,green,19,14228,010001..20000,3
201804,green,25,11083,010001..20000,2
201805,green,11,14473,010001..20000,2
201806,green,9,15046,010001..20000,2
201807,green,18,15054,010001..20000,2
201809,green,33,17686,010001..20000,2
201810,green,38,16683,010001..20000,4
201811,green,28,13585,010001..20000,2
201812,green,19,13084,010001..20000,1
201813,green,14,12759,010001..20000,1
201814,green,17,13087,010001..20000,1
201815,green,24,12273,010001..20000,1
201816,green,16,17169,010001..20000,1
201822,green,6,14491,010001..20000,90
201823,green,13,15338,010001..20000,91
201824,green,4,14923,010001..20000,93
201825,green,4,14095,010001..20000,95
201826,green,3,14521,010001..20000,94
201827,green,6,14853,010001..20000,107
201828,green,21,14848,010001..20000,83
201829,green,19,14451,010001..20000,91
201830,green,20,14553,010001..20000,124
201831,green,21,14599,010001..20000,108
201832,green,17,13784,010001..20000,92
201833,green,24,14248,010001..20000,82
201834,green,29,13733,010001..20000,101
201835,green,17,14197,010001..20000,121
201836,green,19,14846,010001..20000,145
201837,green,15,14889,010001..20000,152
201838,green,35,14761,010001..20000,151
201839,green,17,13781,010001..20000,162
201840,green,21,14561,010001..20000,202
201841,green,11,15343,010001..20000,135
201842,green,27,15325,010001..20000,191
201843,green,13,13833,010001..20000,244
