yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201702,green,60,1552758,300000+,1
201712,green,74,1375973,300000+,1
201713,green,42,1781079,300000+,1
201714,green,55,509386,300000+,1
201715,green,46,1004898,300000+,1
201716,green,33,1699160,300000+,1
201717,green,54,519997,300000+,1
201718,green,39,536484,300000+,1
201719,green,45,1117048,300000+,1
201720,green,39,969772,300000+,1
201721,green,28,976752,300000+,1
201722,green,37,1000733,300000+,1
201731,green,21,842439,300000+,1
201740,green,46,313200,300000+,1
201741,green,39,495157,300000+,1
201742,green,22,978883,300000+,1
201743,green,26,864927,300000+,1
201744,green,10,1066154,300000+,1
201748,green,3,2496257,300000+,1
201749,green,16,2622266,300000+,1
201750,green,22,2848578,300000+,1
201751,green,10,1212826,300000+,1
201752,green,15,1904218,300000+,1
201753,green,3,2039288,300000+,1
201801,green,66,2124335,300000+,1
201802,green,22,2290865,300000+,1
201803,green,19,2407199,300000+,1
201804,green,25,2503316,300000+,1
201805,green,11,2596243,300000+,1
201806,green,9,2640981,300000+,1
201807,green,18,2678371,300000+,1
201808,green,22,2672469,300000+,1
201809,green,33,2694642,300000+,1
201810,green,38,2741814,300000+,1
201811,green,28,1826184,300000+,1
201812,green,19,1256889,300000+,1
201813,green,14,1889972,300000+,1
201814,green,17,2058656,300000+,1
201816,green,16,999189,300000+,1
201817,green,7,1692063,300000+,1
201818,green,6,1367172,300000+,2
201822,green,6,2785108,300000+,38
201823,green,13,2251904,300000+,47
201824,green,4,2626440,300000+,39
201825,green,4,3284545,300000+,40
201826,green,3,2599455,300000+,44
201827,green,6,2853621,300000+,38
201828,green,21,2766068,300000+,41
201829,green,19,2474261,300000+,49
201830,green,20,2534555,300000+,50
201831,green,21,2826011,300000+,36
201832,green,17,2552962,300000+,39
201833,green,24,2502120,300000+,37
201834,green,29,2941553,300000+,32
201835,green,17,2797811,300000+,34
201836,green,19,2699984,300000+,36
201837,green,15,2034608,300000+,47
201838,green,35,1938330,300000+,57
201839,green,17,2893254,300000+,30
201840,green,21,1641649,300000+,34
201841,green,11,1115898,300000+,29
201842,green,27,1209085,300000+,27
201843,green,13,1308321,300000+,34
