yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201514,grey,52,19115,010001..20000,1
201523,grey,0,18822,010001..20000,1
201524,grey,20,17512,010001..20000,1
201526,grey,60,15623,010001..20000,1
201530,grey,96,13720,010001..20000,1
201532,grey,96,11651,010001..20000,1
201534,grey,88,15291,010001..20000,1
201535,grey,58,12823,010001..20000,1
201538,grey,64,14668,010001..20000,1
201539,grey,38,12168,010001..20000,1
201547,grey,18,19828,010001..20000,1
201548,grey,58,19983,010001..20000,1
201603,grey,212,13671,010001..20000,1
201604,grey,114,16208,010001..20000,1
201605,grey,102,14766,010001..20000,1
201606,grey,36,18138,010001..20000,1
201608,grey,90,18927,010001..20000,1
201609,grey,18,15991,010001..20000,1
201612,grey,38,16516,010001..20000,1
201613,grey,50,15188,010001..20000,1
201614,grey,146,17767,010001..20000,1
201615,grey,126,15751,010001..20000,1
201619,grey,60,13560,010001..20000,1
201620,grey,80,14398,010001..20000,1
201621,grey,66,17206,010001..20000,1
201622,grey,32,14802,010001..20000,1
201623,grey,40,19356,010001..20000,1
201626,grey,84,14854,010001..20000,1
201627,grey,110,15783,010001..20000,1
201628,grey,102,12873,010001..20000,1
201630,grey,92,13405,010001..20000,1
201631,grey,122,11439,010001..20000,1
201632,grey,74,18916,010001..20000,1
201634,grey,30,19246,010001..20000,1
201638,grey,64,19333,010001..20000,1
201701,grey,46,18400,010001..20000,1
201735,grey,36,16813,010001..20000,1
201736,grey,50,16217,010001..20000,1
201737,grey,8,16741,010001..20000,1
201738,grey,26,15868,010001..20000,1
201741,grey,20,19415,010001..20000,1
201742,grey,22,18228,010001..20000,1
201749,grey,14,14301,010001..20000,1
201751,grey,12,13099,010001..20000,1
201801,grey,20,11855,010001..20000,1
201802,grey,36,11063,010001..20000,1
201811,grey,10,10666,010001..20000,1
201812,grey,66,13084,010001..20000,1
201813,grey,22,15530,010001..20000,2
201814,grey,8,13979,010001..20000,2
201815,grey,12,12411,010001..20000,2
201816,grey,20,15290,010001..20000,3
201817,grey,12,12807,010001..20000,2
201818,grey,2,13281,010001..20000,2
201822,grey,6,15153,010001..20000,71
201823,grey,6,13698,010001..20000,62
201824,grey,4,14616,010001..20000,68
201825,grey,6,14376,010001..20000,72
201826,grey,2,14880,010001..20000,82
201827,grey,8,15208,010001..20000,66
201828,grey,10,15136,010001..20000,70
201829,grey,14,14379,010001..20000,74
201830,grey,8,13960,010001..20000,78
201831,grey,8,13832,010001..20000,102
201832,grey,10,12266,010001..20000,89
201833,grey,16,12146,010001..20000,60
201834,grey,8,12493,010001..20000,85
201835,grey,10,13919,010001..20000,105
201836,grey,8,16019,010001..20000,124
201837,grey,10,13891,010001..20000,136
201838,grey,8,15129,010001..20000,141
201839,grey,12,14175,010001..20000,130
201840,grey,4,13301,010001..20000,69
201841,grey,12,14079,010001..20000,86
201842,grey,18,13536,010001..20000,91
201843,grey,4,12796,010001..20000,191
