yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201704,grey,70,629995,300000+,1
201705,grey,40,906311,300000+,1
201706,grey,44,2174955,300000+,2
201715,grey,36,2073488,300000+,1
201718,grey,16,3265501,300000+,1
201719,grey,38,2906717,300000+,2
201720,grey,18,3190473,300000+,6
201721,grey,18,3466773,300000+,5
201722,grey,34,3150527,300000+,6
201723,grey,16,3413410,300000+,5
201724,grey,34,2285553,300000+,5
201725,grey,12,2363257,300000+,5
201726,grey,26,2259099,300000+,4
201727,grey,38,2680843,300000+,4
201728,grey,22,2464559,300000+,4
201729,grey,32,2659789,300000+,4
201730,grey,34,2982614,300000+,4
201731,grey,18,2939115,300000+,4
201732,grey,38,2909181,300000+,4
201733,grey,40,1378882,300000+,5
201734,grey,30,1694835,300000+,4
201735,grey,36,1547163,300000+,5
201736,grey,50,3447157,300000+,7
201737,grey,8,1332640,300000+,12
201738,grey,26,1354164,300000+,14
201739,grey,46,2760220,300000+,5
201740,grey,30,3133999,300000+,5
201741,grey,20,3356835,300000+,5
201742,grey,22,3994132,300000+,4
201743,grey,22,4003749,300000+,5
201744,grey,10,2772184,300000+,5
201748,grey,4,2026413,300000+,5
201749,grey,14,2275466,300000+,4
201750,grey,12,1603621,300000+,4
201751,grey,12,2003426,300000+,4
201752,grey,14,2193208,300000+,4
201753,grey,4,1405530,300000+,4
201801,grey,20,1374007,300000+,4
201802,grey,36,1655251,300000+,4
201803,grey,18,884241,300000+,4
201804,grey,26,2164765,300000+,8
201805,grey,20,1880485,300000+,9
201806,grey,2,2061396,300000+,9
201807,grey,14,2527535,300000+,8
201808,grey,22,2470400,300000+,8
201809,grey,10,1149017,300000+,6
201810,grey,8,1786116,300000+,11
201811,grey,10,2345974,300000+,11
201812,grey,66,2362381,300000+,9
201813,grey,22,3189733,300000+,7
201814,grey,8,3213477,300000+,7
201815,grey,12,2898975,300000+,8
201816,grey,20,2456449,300000+,5
201817,grey,12,2195601,300000+,6
201818,grey,2,2762425,300000+,7
201822,grey,6,1787914,300000+,45
201823,grey,6,2231727,300000+,36
201824,grey,4,1887071,300000+,46
201825,grey,6,1972495,300000+,40
201826,grey,2,2148461,300000+,41
201827,grey,8,1920212,300000+,39
201828,grey,10,1926734,300000+,43
201829,grey,14,2175001,300000+,33
201830,grey,8,2335600,300000+,33
201831,grey,8,2835812,300000+,25
201832,grey,10,2252015,300000+,24
201833,grey,16,2460984,300000+,24
201834,grey,8,2431815,300000+,23
201835,grey,10,2094339,300000+,29
201836,grey,8,2220090,300000+,22
201837,grey,10,2268014,300000+,26
201838,grey,8,1647726,300000+,36
201839,grey,12,1852560,300000+,23
201840,grey,4,2048058,300000+,24
201841,grey,12,1186268,300000+,27
201842,grey,18,1561148,300000+,21
201843,grey,4,1579697,300000+,26
