yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201716,high waist,3,3868,001001..5000,1
201720,high waist,5,4756,001001..5000,1
201721,high waist,1,2785,001001..5000,1
201722,high waist,2,3221,001001..5000,1
201723,high waist,40,3050,001001..5000,1
201724,high waist,4,3825,001001..5000,1
201725,high waist,2,3299,001001..5000,1
201726,high waist,3,2391,001001..5000,1
201728,high waist,6,2788,001001..5000,1
201729,high waist,2,2649,001001..5000,1
201730,high waist,2,2692,001001..5000,1
201731,high waist,1,2821,001001..5000,2
201732,high waist,1,3576,001001..5000,3
201733,high waist,2,3825,001001..5000,3
201734,high waist,2,2755,001001..5000,3
201735,high waist,3,2568,001001..5000,4
201736,high waist,5,3166,001001..5000,3
201737,high waist,13,2580,001001..5000,3
201738,high waist,3,2951,001001..5000,4
201739,high waist,4,1381,001001..5000,2
201740,high waist,6,1121,001001..5000,2
201741,high waist,3,1635,001001..5000,2
201742,high waist,1,1678,001001..5000,2
201743,high waist,5,1950,001001..5000,2
201744,high waist,1,2303,001001..5000,2
201748,high waist,3,2623,001001..5000,2
201749,high waist,2,2914,001001..5000,2
201750,high waist,3,4273,001001..5000,2
201752,high waist,5,2665,001001..5000,3
201753,high waist,2,2150,001001..5000,3
201801,high waist,3,3233,001001..5000,4
201802,high waist,1,3428,001001..5000,4
201803,high waist,6,2716,001001..5000,4
201804,high waist,6,3131,001001..5000,3
201805,high waist,3,2999,001001..5000,3
201806,high waist,5,2222,001001..5000,2
201807,high waist,0,3268,001001..5000,1
201808,high waist,6,2019,001001..5000,2
201809,high waist,8,3304,001001..5000,3
201810,high waist,8,2344,001001..5000,2
201811,high waist,3,3183,001001..5000,5
201812,high waist,2,2554,001001..5000,4
201813,high waist,3,2583,001001..5000,4
201814,high waist,5,2491,001001..5000,5
201815,high waist,3,3171,001001..5000,8
201816,high waist,4,2983,001001..5000,7
201817,high waist,1,2496,001001..5000,6
201818,high waist,2,2869,001001..5000,8
201822,high waist,1,2394,001001..5000,524
201823,high waist,1,2287,001001..5000,561
201824,high waist,1,2156,001001..5000,584
201825,high waist,0,2074,001001..5000,683
201826,high waist,5,1996,001001..5000,716
201827,high waist,3,2123,001001..5000,787
201828,high waist,3,2251,001001..5000,705
201829,high waist,1,2145,001001..5000,805
201830,high waist,4,2261,001001..5000,828
201831,high waist,5,2086,001001..5000,724
201832,high waist,1,2154,001001..5000,786
201833,high waist,2,2057,001001..5000,825
201834,high waist,0,2469,001001..5000,658
201835,high waist,4,2251,001001..5000,828
201836,high waist,11,2693,001001..5000,783
201837,high waist,6,2297,001001..5000,867
201838,high waist,2,2181,001001..5000,835
201839,high waist,1,2530,001001..5000,962
201840,high waist,0,2598,001001..5000,921
201841,high waist,3,2520,001001..5000,786
201842,high waist,4,2770,001001..5000,757
201843,high waist,1,2517,001001..5000,834
