yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201712,high waist,8,352074,300000+,1
201720,high waist,5,3002316,300000+,1
201722,high waist,2,1591633,300000+,2
201733,high waist,2,403171,300000+,1
201734,high waist,2,922758,300000+,2
201735,high waist,3,514183,300000+,2
201738,high waist,3,375861,300000+,2
201739,high waist,4,586902,300000+,5
201740,high waist,6,466129,300000+,4
201741,high waist,3,609677,300000+,2
201742,high waist,1,601292,300000+,1
201743,high waist,5,734245,300000+,2
201744,high waist,1,428933,300000+,4
201748,high waist,3,851777,300000+,6
201749,high waist,2,746801,300000+,7
201750,high waist,3,779922,300000+,7
201751,high waist,5,1076240,300000+,6
201752,high waist,5,935344,300000+,6
201753,high waist,2,340632,300000+,1
201801,high waist,3,558644,300000+,1
201802,high waist,1,3506761,300000+,2
201803,high waist,6,312565,300000+,1
201804,high waist,6,650340,300000+,1
201805,high waist,3,390338,300000+,3
201806,high waist,5,525131,300000+,2
201807,high waist,0,337816,300000+,1
201809,high waist,8,578140,300000+,1
201810,high waist,8,981157,300000+,1
201813,high waist,3,432909,300000+,6
201814,high waist,5,4262559,300000+,1
201817,high waist,1,5646226,300000+,1
201818,high waist,2,3210102,300000+,2
201822,high waist,1,1567922,300000+,31
201823,high waist,1,1504467,300000+,37
201824,high waist,1,1688210,300000+,29
201825,high waist,0,1915983,300000+,25
201826,high waist,5,1785234,300000+,28
201827,high waist,3,1713621,300000+,31
201828,high waist,3,2196867,300000+,24
201829,high waist,1,2216698,300000+,24
201830,high waist,4,1941228,300000+,28
201831,high waist,5,1312436,300000+,23
201832,high waist,1,995751,300000+,23
201833,high waist,2,1135402,300000+,19
201834,high waist,0,981520,300000+,25
201835,high waist,4,840196,300000+,28
201836,high waist,11,872193,300000+,34
201837,high waist,6,979466,300000+,30
201838,high waist,2,1196255,300000+,41
201839,high waist,1,1082844,300000+,35
201840,high waist,0,1235817,300000+,27
201841,high waist,3,1614734,300000+,30
201842,high waist,4,1240650,300000+,32
201843,high waist,1,1550515,300000+,22
