yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201731,knee length,0,3123,001001..5000,1
201732,knee length,1,3846,001001..5000,1
201733,knee length,0,3452,001001..5000,1
201734,knee length,1,2847,001001..5000,1
201735,knee length,1,2145,001001..5000,1
201736,knee length,2,2152,001001..5000,1
201737,knee length,0,1553,001001..5000,1
201738,knee length,0,1560,001001..5000,1
201739,knee length,0,1331,001001..5000,1
201740,knee length,11,2886,001001..5000,2
201741,knee length,10,2411,001001..5000,2
201742,knee length,7,2553,001001..5000,2
201743,knee length,0,2464,001001..5000,2
201744,knee length,0,2014,001001..5000,1
201748,knee length,1,3189,001001..5000,1
201749,knee length,0,3739,001001..5000,1
201750,knee length,0,4531,001001..5000,1
201752,knee length,2,1705,001001..5000,1
201801,knee length,0,3237,001001..5000,1
201802,knee length,3,3330,001001..5000,1
201803,knee length,0,2873,001001..5000,1
201804,knee length,0,1817,001001..5000,1
201805,knee length,0,2668,001001..5000,2
201806,knee length,0,1113,001001..5000,1
201808,knee length,0,1795,001001..5000,1
201809,knee length,1,2139,001001..5000,1
201810,knee length,0,1124,001001..5000,1
201811,knee length,0,3095,001001..5000,2
201812,knee length,0,2554,001001..5000,3
201813,knee length,0,2350,001001..5000,3
201814,knee length,2,2835,001001..5000,3
201815,knee length,1,2765,001001..5000,3
201816,knee length,0,2787,001001..5000,4
201817,knee length,0,3052,001001..5000,4
201818,knee length,0,2652,001001..5000,3
201822,knee length,0,2399,001001..5000,131
201823,knee length,1,2380,001001..5000,131
201824,knee length,0,2691,001001..5000,149
201825,knee length,0,2575,001001..5000,152
201826,knee length,0,2684,001001..5000,163
201827,knee length,0,2685,001001..5000,169
201828,knee length,0,3033,001001..5000,216
201829,knee length,0,2502,001001..5000,196
201830,knee length,0,2603,001001..5000,246
201831,knee length,0,3264,001001..5000,254
201832,knee length,0,3311,001001..5000,334
201833,knee length,1,3331,001001..5000,299
201834,knee length,0,3273,001001..5000,273
201835,knee length,1,2940,001001..5000,316
201836,knee length,0,2686,001001..5000,339
201837,knee length,0,3057,001001..5000,395
201838,knee length,0,3080,001001..5000,381
201839,knee length,1,2585,001001..5000,419
201840,knee length,0,2662,001001..5000,384
201841,knee length,0,2667,001001..5000,353
201842,knee length,0,2637,001001..5000,339
201843,knee length,0,2328,001001..5000,222
