yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201727,knee length,0,1123415,300000+,1
201728,knee length,0,1449637,300000+,1
201729,knee length,3,1885648,300000+,1
201730,knee length,2,1375473,300000+,2
201731,knee length,0,2592062,300000+,1
201732,knee length,1,2900004,300000+,1
201733,knee length,0,3109283,300000+,1
201734,knee length,1,3261787,300000+,1
201735,knee length,1,3333141,300000+,1
201736,knee length,2,457704,300000+,2
201737,knee length,0,1110326,300000+,4
201738,knee length,0,682408,300000+,2
201739,knee length,0,901573,300000+,3
201740,knee length,11,896538,300000+,2
201741,knee length,10,794328,300000+,3
201742,knee length,7,868626,300000+,3
201743,knee length,0,763569,300000+,2
201744,knee length,0,1145026,300000+,2
201748,knee length,1,3632492,300000+,4
201749,knee length,0,846039,300000+,2
201750,knee length,0,1373732,300000+,2
201751,knee length,1,2087151,300000+,3
201752,knee length,2,2051893,300000+,3
201753,knee length,0,886830,300000+,1
201801,knee length,0,4427407,300000+,4
201802,knee length,3,3110276,300000+,2
201803,knee length,0,1757666,300000+,4
201804,knee length,0,3230663,300000+,2
201805,knee length,0,3206870,300000+,2
201806,knee length,0,3204735,300000+,2
201807,knee length,0,5996208,300000+,1
201808,knee length,0,6008994,300000+,1
201809,knee length,1,6050597,300000+,1
201810,knee length,0,6103028,300000+,1
201811,knee length,0,6155448,300000+,1
201812,knee length,0,6175631,300000+,1
201813,knee length,0,8366325,300000+,3
201814,knee length,2,6849586,300000+,1
201818,knee length,0,575455,300000+,1
201822,knee length,0,2556278,300000+,3
201823,knee length,1,1089886,300000+,10
201824,knee length,0,1081707,300000+,12
201825,knee length,0,5153166,300000+,11
201826,knee length,0,1103259,300000+,9
201827,knee length,0,1010566,300000+,12
201828,knee length,0,2085783,300000+,4
201829,knee length,0,2102835,300000+,4
201830,knee length,0,2700401,300000+,3
201831,knee length,0,2722776,300000+,3
201832,knee length,0,6470435,300000+,5
201833,knee length,1,1769319,300000+,5
201834,knee length,0,1201657,300000+,9
201835,knee length,1,3981849,300000+,2
201836,knee length,0,1263967,300000+,8
201837,knee length,0,594542,300000+,10
201838,knee length,0,546755,300000+,11
201839,knee length,1,682306,300000+,9
201840,knee length,0,661380,300000+,12
201841,knee length,0,587621,300000+,14
201842,knee length,0,783161,300000+,16
201843,knee length,0,901949,300000+,21
