yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201519,lace up,14,299,0..1000,1
201521,lace up,20,175,0..1000,1
201522,lace up,0,160,0..1000,1
201523,lace up,3,151,0..1000,1
201524,lace up,4,139,0..1000,1
201525,lace up,9,174,0..1000,1
201526,lace up,21,130,0..1000,1
201527,lace up,51,104,0..1000,1
201528,lace up,69,119,0..1000,1
201529,lace up,53,174,0..1000,1
201635,lace up,13,931,0..1000,1
201637,lace up,12,382,0..1000,1
201638,lace up,9,322,0..1000,1
201639,lace up,16,422,0..1000,1
201640,lace up,12,440,0..1000,1
201641,lace up,10,627,0..1000,1
201642,lace up,21,997,0..1000,1
201646,lace up,8,879,0..1000,1
201701,lace up,8,960,0..1000,1
201703,lace up,9,972,0..1000,1
201711,lace up,14,654,0..1000,1
201712,lace up,10,377,0..1000,3
201713,lace up,12,499,0..1000,4
201714,lace up,8,495,0..1000,4
201715,lace up,9,361,0..1000,3
201716,lace up,2,328,0..1000,3
201717,lace up,5,464,0..1000,4
201718,lace up,8,427,0..1000,3
201719,lace up,9,124,0..1000,2
201720,lace up,7,101,0..1000,2
201721,lace up,18,414,0..1000,3
201722,lace up,12,487,0..1000,4
201723,lace up,14,411,0..1000,3
201724,lace up,5,368,0..1000,3
201725,lace up,7,289,0..1000,3
201726,lace up,5,285,0..1000,3
201727,lace up,0,238,0..1000,3
201728,lace up,4,417,0..1000,3
201729,lace up,10,455,0..1000,5
201730,lace up,4,334,0..1000,4
201731,lace up,6,317,0..1000,4
201732,lace up,1,343,0..1000,4
201733,lace up,12,377,0..1000,5
201734,lace up,6,330,0..1000,4
201735,lace up,3,289,0..1000,4
201736,lace up,6,320,0..1000,4
201737,lace up,7,285,0..1000,4
201738,lace up,7,379,0..1000,5
201739,lace up,7,306,0..1000,4
201740,lace up,11,428,0..1000,5
201741,lace up,9,313,0..1000,4
201742,lace up,4,455,0..1000,4
201743,lace up,5,557,0..1000,4
201744,lace up,2,371,0..1000,4
201748,lace up,0,496,0..1000,4
201749,lace up,3,495,0..1000,3
201750,lace up,5,526,0..1000,3
201751,lace up,9,344,0..1000,3
201752,lace up,3,349,0..1000,4
201753,lace up,2,308,0..1000,3
201801,lace up,6,431,0..1000,4
201802,lace up,5,389,0..1000,5
201803,lace up,5,292,0..1000,5
201804,lace up,1,391,0..1000,7
201805,lace up,0,411,0..1000,9
201806,lace up,1,424,0..1000,9
201807,lace up,1,390,0..1000,9
201808,lace up,4,303,0..1000,8
201809,lace up,4,309,0..1000,8
201810,lace up,5,340,0..1000,8
201811,lace up,3,426,0..1000,9
201812,lace up,5,422,0..1000,9
201813,lace up,4,407,0..1000,8
201814,lace up,3,369,0..1000,8
201815,lace up,3,427,0..1000,7
201816,lace up,3,403,0..1000,10
201817,lace up,0,501,0..1000,10
201818,lace up,1,461,0..1000,9
201822,lace up,2,376,0..1000,859
201823,lace up,1,438,0..1000,915
201824,lace up,1,389,0..1000,845
201825,lace up,1,470,0..1000,1052
201826,lace up,1,328,0..1000,876
201827,lace up,4,349,0..1000,870
201828,lace up,2,342,0..1000,863
201829,lace up,3,433,0..1000,866
201830,lace up,4,432,0..1000,1035
201831,lace up,4,482,0..1000,1233
201832,lace up,2,423,0..1000,1158
201833,lace up,1,388,0..1000,1048
201834,lace up,3,368,0..1000,1054
201835,lace up,3,287,0..1000,851
201836,lace up,3,457,0..1000,1186
201837,lace up,3,373,0..1000,949
201838,lace up,1,404,0..1000,1101
201839,lace up,0,393,0..1000,1097
201840,lace up,3,422,0..1000,1098
201841,lace up,3,356,0..1000,837
201842,lace up,2,347,0..1000,629
201843,lace up,0,438,0..1000,638
