yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201701,lace up,8,2001783,300000+,1
201702,lace up,8,1027321,300000+,36
201703,lace up,9,913336,300000+,12
201704,lace up,10,2664355,300000+,1
201705,lace up,5,3194956,300000+,1
201706,lace up,5,3217678,300000+,1
201707,lace up,13,1927459,300000+,2
201708,lace up,13,3283791,300000+,1
201709,lace up,15,3336002,300000+,1
201710,lace up,20,3390191,300000+,1
201719,lace up,9,7257117,300000+,1
201724,lace up,5,4923788,300000+,1
201725,lace up,7,4946903,300000+,1
201726,lace up,5,4967561,300000+,1
201727,lace up,0,4989377,300000+,1
201728,lace up,4,5032123,300000+,1
201729,lace up,10,5069947,300000+,1
201730,lace up,4,5101506,300000+,1
201731,lace up,6,5143560,300000+,1
201732,lace up,1,5200064,300000+,1
201733,lace up,12,5261193,300000+,1
201734,lace up,6,5302508,300000+,1
201735,lace up,3,1561555,300000+,6
201736,lace up,6,2443452,300000+,3
201737,lace up,7,332384,300000+,1
201738,lace up,7,627032,300000+,1
201739,lace up,7,1312598,300000+,7
201740,lace up,11,606405,300000+,1
201741,lace up,9,590143,300000+,2
201742,lace up,4,921750,300000+,1
201743,lace up,5,1088480,300000+,1
201744,lace up,2,1155627,300000+,1
201748,lace up,0,4302385,300000+,3
201751,lace up,9,2185976,300000+,2
201752,lace up,3,2089370,300000+,4
201801,lace up,6,5090207,300000+,1
201802,lace up,5,2813642,300000+,2
201803,lace up,5,2937158,300000+,2
201804,lace up,1,3043410,300000+,2
201805,lace up,0,5891244,300000+,1
201806,lace up,1,5944700,300000+,1
201807,lace up,1,5996208,300000+,1
201808,lace up,4,6008994,300000+,1
201809,lace up,4,6050597,300000+,1
201810,lace up,5,6103028,300000+,1
201811,lace up,3,6155448,300000+,1
201812,lace up,5,3728430,300000+,2
201813,lace up,4,3415342,300000+,8
201814,lace up,3,6849586,300000+,1
201815,lace up,3,2611406,300000+,89
201817,lace up,0,1010997,300000+,1
201822,lace up,2,2477214,300000+,5
201823,lace up,1,2006089,300000+,5
201824,lace up,1,1861250,300000+,5
201825,lace up,1,2316573,300000+,4
201826,lace up,1,2410496,300000+,4
201827,lace up,4,4541894,300000+,2
201828,lace up,2,3619125,300000+,2
201829,lace up,3,7014459,300000+,1
201830,lace up,4,3723870,300000+,2
201831,lace up,4,7104913,300000+,1
201832,lace up,2,4252002,300000+,2
201833,lace up,1,4157691,300000+,2
201834,lace up,3,4731116,300000+,2
201835,lace up,3,3678408,300000+,3
201836,lace up,3,3509335,300000+,4
201837,lace up,3,1374192,300000+,9
201838,lace up,1,1598782,300000+,9
201839,lace up,0,1429885,300000+,7
201840,lace up,3,1481324,300000+,10
201841,lace up,3,1149374,300000+,14
201842,lace up,2,707999,300000+,11
201843,lace up,0,692407,300000+,13
