yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201723,long sleeve,20,26428,020001..30000,1
201725,long sleeve,10,29899,020001..30000,1
201729,long sleeve,18,28448,020001..30000,1
201732,long sleeve,22,23193,020001..30000,1
201733,long sleeve,20,29623,020001..30000,1
201734,long sleeve,10,28008,020001..30000,1
201738,long sleeve,47,23619,020001..30000,1
201741,long sleeve,44,25332,020001..30000,2
201742,long sleeve,52,24171,020001..30000,2
201743,long sleeve,43,27075,020001..30000,1
201744,long sleeve,18,24657,020001..30000,1
201748,long sleeve,3,27429,020001..30000,1
201751,long sleeve,17,28151,020001..30000,1
201752,long sleeve,27,23431,020001..30000,3
201753,long sleeve,2,29147,020001..30000,1
201801,long sleeve,12,20577,020001..30000,3
201802,long sleeve,13,20653,020001..30000,1
201803,long sleeve,12,22010,020001..30000,4
201804,long sleeve,12,22046,020001..30000,2
201805,long sleeve,12,23294,020001..30000,2
201806,long sleeve,8,22980,020001..30000,1
201807,long sleeve,10,28134,020001..30000,2
201808,long sleeve,15,25429,020001..30000,1
201809,long sleeve,17,26703,020001..30000,1
201810,long sleeve,15,21712,020001..30000,1
201811,long sleeve,12,28772,020001..30000,2
201812,long sleeve,10,25959,020001..30000,4
201813,long sleeve,10,24765,020001..30000,2
201814,long sleeve,10,28107,020001..30000,1
201816,long sleeve,11,23609,020001..30000,2
201817,long sleeve,1,25666,020001..30000,2
201818,long sleeve,2,29038,020001..30000,1
201822,long sleeve,4,23575,020001..30000,39
201823,long sleeve,17,23959,020001..30000,36
201824,long sleeve,6,24155,020001..30000,37
201825,long sleeve,2,22388,020001..30000,18
201826,long sleeve,1,24173,020001..30000,43
201827,long sleeve,6,25237,020001..30000,20
201828,long sleeve,13,24918,020001..30000,35
201829,long sleeve,9,23012,020001..30000,64
201830,long sleeve,10,23972,020001..30000,40
201831,long sleeve,5,25524,020001..30000,56
201832,long sleeve,8,25987,020001..30000,121
201833,long sleeve,6,24264,020001..30000,85
201834,long sleeve,15,24019,020001..30000,122
201835,long sleeve,14,25538,020001..30000,122
201836,long sleeve,13,24593,020001..30000,126
201837,long sleeve,7,25467,020001..30000,85
201838,long sleeve,11,26137,020001..30000,155
201839,long sleeve,12,24655,020001..30000,107
201840,long sleeve,12,25360,020001..30000,89
201841,long sleeve,10,24679,020001..30000,155
201842,long sleeve,9,24375,020001..30000,141
201843,long sleeve,11,24845,020001..30000,162
