yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201712,long sleeve,52,856425,300000+,2
201713,long sleeve,65,1781079,300000+,1
201722,long sleeve,23,323688,300000+,1
201724,long sleeve,27,409342,300000+,1
201725,long sleeve,10,355954,300000+,1
201726,long sleeve,12,319929,300000+,2
201727,long sleeve,20,318818,300000+,1
201731,long sleeve,9,842439,300000+,1
201736,long sleeve,24,514102,300000+,1
201737,long sleeve,31,1024305,300000+,3
201738,long sleeve,47,627032,300000+,1
201739,long sleeve,47,939655,300000+,2
201740,long sleeve,28,702092,300000+,3
201741,long sleeve,44,661544,300000+,3
201742,long sleeve,52,880705,300000+,3
201743,long sleeve,43,976703,300000+,2
201744,long sleeve,18,873742,300000+,3
201748,long sleeve,3,2762889,300000+,6
201749,long sleeve,24,2531304,300000+,4
201750,long sleeve,26,1659504,300000+,3
201751,long sleeve,17,1543280,300000+,4
201752,long sleeve,27,1290447,300000+,7
201753,long sleeve,2,1134249,300000+,4
201801,long sleeve,12,2298819,300000+,4
201802,long sleeve,13,2382793,300000+,4
201803,long sleeve,12,2084776,300000+,5
201804,long sleeve,12,2624781,300000+,4
201805,long sleeve,12,2818959,300000+,4
201806,long sleeve,8,2947653,300000+,4
201807,long sleeve,10,3637091,300000+,3
201808,long sleeve,15,3642580,300000+,3
201809,long sleeve,17,3554228,300000+,3
201810,long sleeve,15,3235224,300000+,3
201811,long sleeve,12,2336649,300000+,4
201812,long sleeve,10,2289773,300000+,4
201813,long sleeve,10,4876188,300000+,6
201814,long sleeve,10,2167852,300000+,5
201815,long sleeve,16,623220,300000+,2
201816,long sleeve,11,999189,300000+,1
201817,long sleeve,1,1036127,300000+,4
201818,long sleeve,2,1090341,300000+,4
201822,long sleeve,4,1094985,300000+,34
201823,long sleeve,17,798369,300000+,48
201824,long sleeve,6,803113,300000+,42
201825,long sleeve,2,2212455,300000+,35
201826,long sleeve,1,767852,300000+,52
201827,long sleeve,6,759319,300000+,52
201828,long sleeve,13,984223,300000+,33
201829,long sleeve,9,842347,300000+,46
201830,long sleeve,10,849136,300000+,48
201831,long sleeve,5,1026008,300000+,35
201832,long sleeve,8,1132543,300000+,26
201833,long sleeve,6,1202708,300000+,26
201834,long sleeve,15,1001151,300000+,34
201835,long sleeve,14,1214657,300000+,39
201836,long sleeve,13,1181280,300000+,21
201837,long sleeve,7,1018515,300000+,27
201838,long sleeve,11,709298,300000+,42
201839,long sleeve,12,1356372,300000+,14
201840,long sleeve,12,962720,300000+,27
201841,long sleeve,10,858503,300000+,24
201842,long sleeve,9,865352,300000+,22
201843,long sleeve,11,1089567,300000+,33
