yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201731,navy,33,3544,001001..5000,1
201732,navy,45,1946,001001..5000,1
201733,navy,39,2623,001001..5000,1
201734,navy,18,2128,001001..5000,1
201735,navy,48,2053,001001..5000,1
201736,navy,18,2192,001001..5000,1
201737,navy,24,2352,001001..5000,1
201738,navy,21,1745,001001..5000,1
201739,navy,33,2040,001001..5000,1
201740,navy,30,2094,001001..5000,1
201741,navy,24,2063,001001..5000,1
201748,navy,3,3082,001001..5000,1
201749,navy,39,4584,001001..5000,1
201752,navy,18,3131,001001..5000,1
201753,navy,0,3099,001001..5000,1
201801,navy,0,3439,001001..5000,1
201802,navy,69,2749,001001..5000,1
201803,navy,24,2684,001001..5000,1
201804,navy,12,1502,001001..5000,1
201805,navy,15,2198,001001..5000,1
201806,navy,15,1865,001001..5000,1
201807,navy,18,2052,001001..5000,1
201808,navy,48,1648,001001..5000,1
201809,navy,15,1325,001001..5000,1
201810,navy,33,1851,001001..5000,1
201811,navy,54,1821,001001..5000,1
201812,navy,27,1643,001001..5000,1
201813,navy,45,1854,001001..5000,1
201814,navy,18,1821,001001..5000,1
201815,navy,33,1558,001001..5000,1
201816,navy,6,1701,001001..5000,1
201817,navy,18,1859,001001..5000,1
201818,navy,3,1746,001001..5000,1
201822,navy,3,2589,001001..5000,162
201823,navy,15,2479,001001..5000,146
201824,navy,12,1994,001001..5000,202
201825,navy,9,1926,001001..5000,153
201826,navy,6,2027,001001..5000,144
201827,navy,12,1821,001001..5000,193
201828,navy,21,1993,001001..5000,197
201829,navy,27,1882,001001..5000,249
201830,navy,27,2420,001001..5000,189
201831,navy,27,2420,001001..5000,171
201832,navy,27,2468,001001..5000,219
201833,navy,18,2470,001001..5000,217
201834,navy,9,2624,001001..5000,226
201835,navy,21,2504,001001..5000,287
201836,navy,12,2513,001001..5000,305
201837,navy,27,2393,001001..5000,334
201838,navy,15,2253,001001..5000,417
201839,navy,9,2389,001001..5000,499
201840,navy,27,2610,001001..5000,486
201841,navy,15,2731,001001..5000,500
201842,navy,54,2358,001001..5000,482
201843,navy,21,2514,001001..5000,523
