yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201717,navy,54,516168,300000+,2
201718,navy,36,674782,300000+,1
201719,navy,27,753538,300000+,2
201720,navy,21,925269,300000+,2
201721,navy,27,1012677,300000+,2
201722,navy,15,2107837,300000+,1
201723,navy,39,1437903,300000+,2
201724,navy,51,1751912,300000+,3
201725,navy,27,2135399,300000+,3
201726,navy,30,1755093,300000+,3
201727,navy,45,556719,300000+,2
201728,navy,45,1183157,300000+,1
201736,navy,18,357651,300000+,1
201740,navy,30,3695786,300000+,1
201741,navy,24,495157,300000+,1
201742,navy,42,978883,300000+,1
201743,navy,45,864927,300000+,1
201744,navy,9,1066154,300000+,1
201748,navy,3,2496257,300000+,1
201749,navy,39,2622266,300000+,1
201750,navy,45,2848578,300000+,1
201751,navy,21,1212826,300000+,1
201752,navy,18,1904218,300000+,1
201753,navy,0,2039288,300000+,1
201801,navy,0,2124335,300000+,1
201802,navy,69,2290865,300000+,1
201803,navy,24,2407199,300000+,1
201804,navy,12,2503316,300000+,1
201805,navy,15,2596243,300000+,1
201806,navy,15,2640981,300000+,1
201807,navy,18,2678371,300000+,1
201808,navy,48,2672469,300000+,1
201809,navy,15,2694642,300000+,1
201810,navy,33,2741814,300000+,1
201811,navy,54,1826184,300000+,1
201812,navy,27,1930420,300000+,2
201813,navy,45,1889972,300000+,1
201814,navy,18,2058656,300000+,1
201816,navy,6,999189,300000+,1
201817,navy,18,1692063,300000+,1
201818,navy,3,2158890,300000+,1
201822,navy,3,1670918,300000+,13
201823,navy,15,1155727,300000+,21
201824,navy,12,1556316,300000+,11
201825,navy,9,1082629,300000+,12
201826,navy,6,803085,300000+,16
201827,navy,12,1032599,300000+,13
201828,navy,21,924239,300000+,23
201829,navy,27,701231,300000+,32
201830,navy,27,698665,300000+,33
201831,navy,27,1179561,300000+,17
201832,navy,27,1039683,300000+,16
201833,navy,18,803934,300000+,14
201834,navy,9,1211148,300000+,17
201835,navy,21,960966,300000+,26
201836,navy,12,1176129,300000+,19
201837,navy,27,1355642,300000+,20
201838,navy,15,1713941,300000+,24
201839,navy,9,1838804,300000+,17
201840,navy,27,1661358,300000+,17
201841,navy,15,1852423,300000+,13
201842,navy,54,1642193,300000+,16
201843,navy,21,1822322,300000+,14
