yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201623,nude,5,422847,300000+,1
201632,nude,33,407372,300000+,1
201633,nude,32,617615,300000+,1
201634,nude,19,713508,300000+,1
201635,nude,28,760688,300000+,1
201636,nude,42,804637,300000+,1
201637,nude,29,835572,300000+,1
201638,nude,22,867298,300000+,1
201639,nude,38,883864,300000+,1
201640,nude,20,902857,300000+,1
201641,nude,15,931459,300000+,1
201642,nude,22,948821,300000+,1
201643,nude,33,983308,300000+,1
201644,nude,27,998916,300000+,1
201645,nude,63,979631,300000+,1
201646,nude,44,992777,300000+,1
201647,nude,9,1016704,300000+,1
201648,nude,20,1068578,300000+,1
201701,nude,20,1086398,300000+,1
201702,nude,24,682449,300000+,1
201703,nude,76,456295,300000+,1
201704,nude,49,388156,300000+,1
201705,nude,48,438164,300000+,1
201706,nude,18,726171,300000+,1
201707,nude,14,765669,300000+,1
201708,nude,22,990694,300000+,1
201709,nude,44,1213995,300000+,1
201710,nude,36,442104,300000+,1
201711,nude,38,758793,300000+,1
201712,nude,37,1183278,300000+,1
201713,nude,13,1355820,300000+,1
201714,nude,13,1124076,300000+,1
201715,nude,20,1814155,300000+,2
201716,nude,10,1920143,300000+,2
201717,nude,21,2206915,300000+,2
201718,nude,7,1166428,300000+,1
201719,nude,26,1215288,300000+,1
201720,nude,32,701931,300000+,1
201721,nude,16,726907,300000+,1
201722,nude,5,818994,300000+,1
201723,nude,19,1223903,300000+,1
201724,nude,17,775328,300000+,1
201725,nude,19,459594,300000+,1
201726,nude,18,587550,300000+,1
201727,nude,26,1083192,300000+,1
201728,nude,28,565745,300000+,1
201729,nude,25,724100,300000+,1
201730,nude,37,828768,300000+,1
201731,nude,24,460915,300000+,1
201732,nude,33,1044596,300000+,1
201733,nude,42,706929,300000+,1
201734,nude,33,1042240,300000+,1
201735,nude,43,1343035,300000+,1
201736,nude,39,1467942,300000+,1
201737,nude,9,1560156,300000+,1
201738,nude,8,1166957,300000+,1
201739,nude,14,1291888,300000+,1
201740,nude,13,1495396,300000+,1
201741,nude,6,1637381,300000+,1
201742,nude,9,3788951,300000+,2
201743,nude,3,3854297,300000+,2
201744,nude,2,3865927,300000+,2
201748,nude,2,4068154,300000+,2
201749,nude,13,3979052,300000+,2
201750,nude,13,4120555,300000+,2
201751,nude,2,4267542,300000+,2
201752,nude,5,4208600,300000+,2
201753,nude,0,1917616,300000+,1
201801,nude,25,4169519,300000+,2
201802,nude,15,1810417,300000+,1
201803,nude,12,1779785,300000+,1
201804,nude,12,1685144,300000+,4
201805,nude,12,1928178,300000+,4
201806,nude,20,2219794,300000+,4
201807,nude,17,2490201,300000+,4
201808,nude,8,1594978,300000+,3
201809,nude,18,1853587,300000+,1
201810,nude,13,2660479,300000+,4
201811,nude,23,2218421,300000+,4
201812,nude,6,1750617,300000+,4
201813,nude,9,2179614,300000+,4
201814,nude,19,2140352,300000+,4
201815,nude,48,2836054,300000+,3
201816,nude,16,2716782,300000+,3
201817,nude,9,2902135,300000+,3
201818,nude,15,2108983,300000+,4
201822,nude,1,981217,300000+,10
201823,nude,6,1163901,300000+,10
201824,nude,1,1793911,300000+,4
201825,nude,0,1870081,300000+,4
201826,nude,4,1110815,300000+,3
201827,nude,8,1304285,300000+,3
201828,nude,8,1990910,300000+,2
201829,nude,14,1144628,300000+,2
201830,nude,17,1045510,300000+,2
201831,nude,8,1582494,300000+,2
201832,nude,11,1922189,300000+,2
201833,nude,5,1264804,300000+,2
201834,nude,8,661681,300000+,2
201835,nude,3,1402758,300000+,1
201836,nude,2,867910,300000+,1
201837,nude,5,1456789,300000+,1
201838,nude,4,2375675,300000+,5
201839,nude,1,732670,300000+,1
201840,nude,8,774266,300000+,1
201841,nude,8,1354292,300000+,1
201842,nude,4,1696423,300000+,1
201843,nude,1,1222873,300000+,2
