yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,nylon,27,292,0..1000,3
201712,nylon,18,242,0..1000,4
201713,nylon,14,250,0..1000,4
201714,nylon,11,248,0..1000,4
201715,nylon,4,320,0..1000,4
201716,nylon,8,274,0..1000,4
201717,nylon,8,227,0..1000,4
201718,nylon,18,271,0..1000,4
201719,nylon,12,287,0..1000,4
201720,nylon,9,279,0..1000,4
201721,nylon,5,311,0..1000,4
201722,nylon,5,290,0..1000,4
201723,nylon,2,292,0..1000,4
201724,nylon,6,316,0..1000,4
201725,nylon,1,340,0..1000,4
201726,nylon,8,316,0..1000,4
201727,nylon,12,277,0..1000,4
201728,nylon,9,435,0..1000,4
201729,nylon,16,289,0..1000,4
201730,nylon,16,300,0..1000,4
201731,nylon,4,258,0..1000,4
201732,nylon,6,261,0..1000,4
201733,nylon,15,253,0..1000,4
201734,nylon,4,210,0..1000,4
201735,nylon,4,232,0..1000,4
201736,nylon,4,221,0..1000,4
201737,nylon,5,222,0..1000,4
201738,nylon,6,211,0..1000,4
201739,nylon,15,215,0..1000,4
201740,nylon,3,212,0..1000,4
201741,nylon,5,301,0..1000,4
201742,nylon,1,444,0..1000,4
201743,nylon,5,385,0..1000,3
201744,nylon,2,361,0..1000,4
201748,nylon,1,322,0..1000,2
201749,nylon,1,352,0..1000,2
201750,nylon,3,454,0..1000,2
201751,nylon,5,419,0..1000,2
201752,nylon,2,448,0..1000,4
201753,nylon,3,277,0..1000,4
201801,nylon,8,279,0..1000,4
201802,nylon,6,208,0..1000,4
201803,nylon,5,180,0..1000,4
201804,nylon,5,148,0..1000,4
201805,nylon,2,133,0..1000,4
201806,nylon,2,156,0..1000,4
201807,nylon,5,145,0..1000,4
201808,nylon,4,111,0..1000,4
201809,nylon,4,119,0..1000,4
201810,nylon,1,110,0..1000,4
201811,nylon,1,114,0..1000,4
201812,nylon,3,110,0..1000,4
201813,nylon,5,110,0..1000,5
201814,nylon,2,101,0..1000,5
201815,nylon,7,155,0..1000,6
201816,nylon,1,183,0..1000,6
201817,nylon,1,180,0..1000,6
201818,nylon,0,215,0..1000,6
201822,nylon,2,439,0..1000,864
201823,nylon,6,451,0..1000,866
201824,nylon,2,448,0..1000,779
201825,nylon,1,561,0..1000,1048
201826,nylon,3,477,0..1000,893
201827,nylon,1,478,0..1000,825
201828,nylon,8,496,0..1000,841
201829,nylon,5,446,0..1000,626
201830,nylon,4,508,0..1000,1083
201831,nylon,2,554,0..1000,1311
201832,nylon,20,505,0..1000,1148
201833,nylon,3,531,0..1000,1217
201834,nylon,8,488,0..1000,1221
201835,nylon,2,440,0..1000,947
201836,nylon,22,500,0..1000,1171
201837,nylon,2,476,0..1000,1045
201838,nylon,7,505,0..1000,1225
201839,nylon,1,500,0..1000,1192
201840,nylon,3,546,0..1000,1276
201841,nylon,4,567,0..1000,926
201842,nylon,5,558,0..1000,581
201843,nylon,1,533,0..1000,410
