yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201531,nylon,13,344496,300000+,1
201536,nylon,11,333802,300000+,1
201544,nylon,3,396446,300000+,1
201549,nylon,0,347492,300000+,2
201550,nylon,4,398665,300000+,2
201551,nylon,18,444956,300000+,1
201552,nylon,2,407530,300000+,1
201611,nylon,8,383446,300000+,1
201612,nylon,53,380508,300000+,1
201614,nylon,8,382214,300000+,1
201620,nylon,5,363954,300000+,1
201625,nylon,9,326876,300000+,1
201627,nylon,21,330253,300000+,1
201628,nylon,11,301700,300000+,1
201631,nylon,19,300719,300000+,1
201632,nylon,16,407372,300000+,1
201633,nylon,17,617615,300000+,1
201634,nylon,8,713508,300000+,1
201635,nylon,4,760688,300000+,1
201636,nylon,21,583874,300000+,2
201637,nylon,8,835572,300000+,1
201638,nylon,7,867298,300000+,1
201639,nylon,9,883864,300000+,1
201640,nylon,6,706554,300000+,2
201641,nylon,4,702832,300000+,2
201642,nylon,0,612604,300000+,3
201643,nylon,6,650788,300000+,2
201644,nylon,5,998916,300000+,1
201645,nylon,8,979631,300000+,1
201646,nylon,7,992777,300000+,1
201647,nylon,5,1016704,300000+,1
201648,nylon,6,1068578,300000+,1
201701,nylon,13,1086398,300000+,1
201702,nylon,6,1011633,300000+,37
201703,nylon,35,855994,300000+,13
201704,nylon,10,1207101,300000+,2
201705,nylon,7,1580242,300000+,2
201706,nylon,23,2224761,300000+,3
201707,nylon,6,1386390,300000+,3
201708,nylon,10,1481854,300000+,5
201709,nylon,9,1334408,300000+,5
201710,nylon,10,795156,300000+,2
201711,nylon,27,1413809,300000+,2
201712,nylon,18,1715523,300000+,2
201713,nylon,14,1972166,300000+,2
201714,nylon,11,1949704,300000+,2
201715,nylon,4,1895301,300000+,5
201716,nylon,8,2152871,300000+,5
201717,nylon,8,2234148,300000+,5
201718,nylon,18,1103642,300000+,2
201719,nylon,12,1530927,300000+,2
201720,nylon,9,1486405,300000+,2
201721,nylon,5,1651679,300000+,2
201722,nylon,5,1792276,300000+,2
201723,nylon,2,2085000,300000+,2
201724,nylon,6,2928449,300000+,3
201725,nylon,1,2849853,300000+,3
201726,nylon,8,2910324,300000+,3
201727,nylon,12,2298203,300000+,3
201728,nylon,9,2465950,300000+,3
201729,nylon,16,2663535,300000+,3
201730,nylon,16,2219446,300000+,4
201731,nylon,4,2816327,300000+,3
201732,nylon,6,2399548,300000+,4
201733,nylon,15,2202945,300000+,4
201734,nylon,4,1648176,300000+,6
201735,nylon,4,2386919,300000+,4
201736,nylon,4,2646181,300000+,3
201737,nylon,5,1866734,300000+,3
201738,nylon,6,1666349,300000+,2
201739,nylon,15,3113490,300000+,3
201740,nylon,3,1311531,300000+,3
201741,nylon,5,1536971,300000+,3
201742,nylon,1,1963950,300000+,3
201743,nylon,5,2523048,300000+,3
201744,nylon,2,2417745,300000+,6
201748,nylon,1,4253688,300000+,5
201749,nylon,1,4270810,300000+,5
201750,nylon,3,3527246,300000+,3
201751,nylon,5,6631642,300000+,3
201752,nylon,2,7012518,300000+,3
201753,nylon,3,5566808,300000+,2
201801,nylon,8,5624224,300000+,2
201802,nylon,6,7226719,300000+,3
201803,nylon,5,5575205,300000+,4
201804,nylon,5,2816006,300000+,14
201805,nylon,2,3469399,300000+,21
201806,nylon,2,3351087,300000+,15
201807,nylon,5,2640386,300000+,14
201808,nylon,4,3455876,300000+,14
201809,nylon,4,4153490,300000+,5
201810,nylon,1,3538451,300000+,20
201811,nylon,1,3453758,300000+,19
201812,nylon,3,3637825,300000+,16
201813,nylon,5,4438469,300000+,18
201814,nylon,2,3061936,300000+,31
201815,nylon,7,2755854,300000+,36
201816,nylon,1,2538846,300000+,31
201817,nylon,1,2784646,300000+,19
201818,nylon,0,3973008,300000+,12
201822,nylon,2,1834189,300000+,22
201823,nylon,6,1824658,300000+,24
201824,nylon,2,2083814,300000+,20
201825,nylon,1,1465118,300000+,34
201826,nylon,3,2280363,300000+,21
201827,nylon,1,2309771,300000+,23
201828,nylon,8,1651781,300000+,33
201829,nylon,5,2901884,300000+,18
201830,nylon,4,2332596,300000+,21
201831,nylon,2,3206373,300000+,18
201832,nylon,20,3428714,300000+,25
201833,nylon,3,3016909,300000+,24
201834,nylon,8,1936431,300000+,26
201835,nylon,2,1534826,300000+,26
201836,nylon,22,1032513,300000+,17
201837,nylon,2,1578813,300000+,15
201838,nylon,7,1223128,300000+,25
201839,nylon,1,1196518,300000+,24
201840,nylon,3,1655147,300000+,16
201841,nylon,4,1699135,300000+,18
201842,nylon,5,2240767,300000+,14
201843,nylon,1,1796084,300000+,19
