yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201712,patch,1,336878,300000+,1
201722,patch,6,323688,300000+,1
201724,patch,12,409342,300000+,1
201725,patch,2,355954,300000+,1
201726,patch,3,310782,300000+,1
201727,patch,4,318818,300000+,1
201744,patch,1,1869496,300000+,1
201748,patch,0,609932,300000+,2
201749,patch,2,1886488,300000+,1
201750,patch,3,1728729,300000+,1
201751,patch,1,679008,300000+,1
201752,patch,0,1087171,300000+,1
201801,patch,4,1550152,300000+,1
201803,patch,4,528802,300000+,1
201804,patch,0,1765357,300000+,1
201805,patch,0,2618999,300000+,1
201806,patch,0,2402346,300000+,2
201807,patch,0,3586471,300000+,2
201808,patch,1,4463777,300000+,2
201809,patch,1,5380350,300000+,2
201810,patch,2,8795733,300000+,1
201811,patch,2,9397155,300000+,1
201812,patch,2,9813029,300000+,1
201813,patch,4,10166427,300000+,1
201814,patch,4,10375495,300000+,1
201815,patch,1,10546340,300000+,1
201816,patch,1,10636078,300000+,1
201817,patch,0,10720760,300000+,1
201818,patch,1,10899804,300000+,1
201822,patch,0,3997914,300000+,3
201823,patch,1,5912089,300000+,2
201824,patch,1,1934555,300000+,7
201825,patch,2,3202375,300000+,4
201826,patch,0,3297363,300000+,4
201827,patch,0,3281240,300000+,4
201828,patch,5,2720174,300000+,5
201829,patch,2,6329643,300000+,2
201830,patch,0,12075011,300000+,1
201831,patch,4,12185324,300000+,1
201832,patch,5,12395345,300000+,1
201833,patch,1,12466906,300000+,1
201834,patch,1,7457866,300000+,2
201835,patch,0,2926164,300000+,5
201836,patch,0,4806675,300000+,3
201837,patch,3,5574419,300000+,4
201838,patch,1,3095907,300000+,11
201839,patch,1,1801833,300000+,13
201840,patch,1,2598612,300000+,9
201841,patch,1,2466716,300000+,8
201842,patch,4,2014511,300000+,10
201843,patch,1,2621916,300000+,7
