yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201723,pink,228,17279,010001..20000,1
201727,pink,148,10027,010001..20000,1
201728,pink,114,14533,010001..20000,1
201735,pink,102,14965,010001..20000,2
201736,pink,82,14643,010001..20000,3
201737,pink,82,17335,010001..20000,3
201738,pink,122,14191,010001..20000,3
201739,pink,134,14223,010001..20000,1
201741,pink,82,19415,010001..20000,1
201742,pink,86,14859,010001..20000,2
201743,pink,110,17472,010001..20000,2
201744,pink,34,13894,010001..20000,1
201748,pink,18,16268,010001..20000,1
201749,pink,46,14301,010001..20000,1
201751,pink,22,17987,010001..20000,1
201753,pink,14,16738,010001..20000,1
201801,pink,52,16754,010001..20000,3
201802,pink,78,12291,010001..20000,3
201803,pink,86,16414,010001..20000,2
201804,pink,46,13838,010001..20000,2
201805,pink,42,15753,010001..20000,2
201806,pink,56,14701,010001..20000,2
201807,pink,32,16562,010001..20000,1
201808,pink,96,18360,010001..20000,1
201809,pink,62,14471,010001..20000,2
201810,pink,60,13682,010001..20000,3
201811,pink,70,13657,010001..20000,3
201812,pink,68,13049,010001..20000,2
201813,pink,68,14068,010001..20000,3
201814,pink,54,13087,010001..20000,1
201815,pink,82,12273,010001..20000,1
201816,pink,30,17169,010001..20000,1
201817,pink,26,11714,010001..20000,1
201818,pink,10,12806,010001..20000,1
201822,pink,20,14668,010001..20000,111
201823,pink,40,16182,010001..20000,65
201824,pink,18,15092,010001..20000,96
201825,pink,16,14448,010001..20000,104
201826,pink,30,14412,010001..20000,103
201827,pink,20,14418,010001..20000,105
201828,pink,54,14280,010001..20000,103
201829,pink,44,13962,010001..20000,123
201830,pink,70,13435,010001..20000,142
201831,pink,80,12762,010001..20000,109
201832,pink,84,12897,010001..20000,88
201833,pink,42,14100,010001..20000,51
201834,pink,52,14151,010001..20000,68
201835,pink,52,13019,010001..20000,91
201836,pink,28,14439,010001..20000,73
201837,pink,46,14953,010001..20000,89
201838,pink,48,12853,010001..20000,90
201839,pink,64,12674,010001..20000,58
201840,pink,42,13231,010001..20000,77
201841,pink,60,14628,010001..20000,85
201842,pink,116,13144,010001..20000,130
201843,pink,34,13884,010001..20000,117
