yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201622,pink,108,1060174,300000+,1
201623,pink,86,1092834,300000+,2
201624,pink,120,1182405,300000+,2
201625,pink,218,1242661,300000+,2
201626,pink,184,1276887,300000+,2
201627,pink,212,1288038,300000+,2
201628,pink,244,1288791,300000+,2
201629,pink,202,1309212,300000+,2
201630,pink,198,828704,300000+,2
201631,pink,258,727705,300000+,2
201632,pink,254,782559,300000+,2
201633,pink,142,918262,300000+,2
201634,pink,106,1034191,300000+,2
201635,pink,172,1112825,300000+,2
201636,pink,152,1201173,300000+,2
201637,pink,172,1037959,300000+,2
201638,pink,174,1254639,300000+,1
201639,pink,150,859248,300000+,2
201640,pink,192,1052258,300000+,2
201641,pink,68,1170709,300000+,2
201642,pink,94,1140234,300000+,2
201643,pink,142,892480,300000+,2
201644,pink,126,1118521,300000+,2
201645,pink,164,881356,300000+,2
201646,pink,156,981421,300000+,2
201647,pink,102,1144682,300000+,2
201648,pink,136,1540286,300000+,3
201701,pink,122,1839648,300000+,3
201702,pink,146,1063344,300000+,2
201703,pink,126,919694,300000+,1
201704,pink,170,1348528,300000+,3
201705,pink,86,1524316,300000+,3
201706,pink,180,1855459,300000+,3
201707,pink,90,2110335,300000+,3
201708,pink,186,2327721,300000+,3
201709,pink,188,2453948,300000+,3
201710,pink,158,2537316,300000+,3
201711,pink,188,2636019,300000+,3
201712,pink,162,1900958,300000+,2
201713,pink,168,2116392,300000+,2
201714,pink,170,2475400,300000+,1
201715,pink,168,2300218,300000+,2
201716,pink,92,2448501,300000+,2
201717,pink,178,2619056,300000+,2
201718,pink,102,2576411,300000+,1
201719,pink,118,2612939,300000+,1
201720,pink,116,2652591,300000+,1
201721,pink,136,2667968,300000+,1
201724,pink,186,4923788,300000+,1
201725,pink,100,4946903,300000+,1
201726,pink,122,4967561,300000+,1
201727,pink,148,4989377,300000+,1
201728,pink,114,5032123,300000+,1
201729,pink,80,5069947,300000+,1
201730,pink,74,5101506,300000+,1
201731,pink,70,5143560,300000+,1
201732,pink,104,5200064,300000+,1
201733,pink,146,5261193,300000+,1
201734,pink,106,5302508,300000+,1
201735,pink,102,5372419,300000+,1
201736,pink,82,1879352,300000+,4
201737,pink,82,639581,300000+,13
201738,pink,122,870473,300000+,10
201739,pink,134,5573846,300000+,1
201740,pink,64,3081622,300000+,1
201742,pink,86,3683596,300000+,2
201744,pink,34,3756181,300000+,2
201748,pink,18,2439841,300000+,2
201749,pink,46,3384755,300000+,1
201750,pink,30,4463941,300000+,1
201751,pink,22,3664077,300000+,1
201752,pink,46,4734372,300000+,1
201801,pink,52,3603859,300000+,1
201802,pink,78,4685268,300000+,1
201803,pink,86,1883897,300000+,2
201804,pink,46,2272945,300000+,4
201805,pink,42,2264717,300000+,4
201806,pink,56,2904850,300000+,4
201807,pink,32,2640229,300000+,3
201808,pink,96,3313193,300000+,5
201809,pink,62,3342891,300000+,2
201810,pink,60,3488304,300000+,6
201811,pink,70,3256069,300000+,4
201812,pink,68,3574181,300000+,6
201813,pink,68,3339428,300000+,3
201814,pink,54,3332101,300000+,4
201815,pink,82,3361458,300000+,4
201816,pink,30,3188334,300000+,7
201817,pink,26,2699356,300000+,4
201818,pink,10,2254342,300000+,5
201822,pink,20,1341872,300000+,35
201823,pink,40,1010645,300000+,41
201824,pink,18,966803,300000+,31
201825,pink,16,1127542,300000+,34
201826,pink,30,1184539,300000+,39
201827,pink,20,1122753,300000+,32
201828,pink,54,1275541,300000+,32
201829,pink,44,1530751,300000+,22
201830,pink,70,1492903,300000+,26
201831,pink,80,617486,300000+,27
201832,pink,84,898518,300000+,32
201833,pink,42,587672,300000+,14
201834,pink,52,647563,300000+,29
201835,pink,52,512357,300000+,32
201836,pink,28,719820,300000+,28
201837,pink,46,747946,300000+,22
201838,pink,48,1070139,300000+,37
201839,pink,64,838385,300000+,30
201840,pink,42,829019,300000+,27
201841,pink,60,985110,300000+,21
201842,pink,116,570846,300000+,17
201843,pink,34,882673,300000+,16
