yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201627,polyester,5,5163,005001..10000,1
201634,polyester,2,6141,005001..10000,1
201715,polyester,1,6493,005001..10000,1
201716,polyester,1,9524,005001..10000,1
201721,polyester,43,8643,005001..10000,1
201724,polyester,5,8677,005001..10000,1
201725,polyester,12,8118,005001..10000,1
201726,polyester,32,7532,005001..10000,1
201729,polyester,4,7724,005001..10000,2
201730,polyester,2,6298,005001..10000,2
201731,polyester,1,7751,005001..10000,1
201732,polyester,1,6368,005001..10000,1
201733,polyester,2,7509,005001..10000,3
201734,polyester,2,8450,005001..10000,3
201736,polyester,3,7059,005001..10000,2
201737,polyester,1,6345,005001..10000,2
201738,polyester,1,7037,005001..10000,3
201739,polyester,1,7113,005001..10000,4
201740,polyester,2,7263,005001..10000,4
201741,polyester,4,7471,005001..10000,4
201743,polyester,0,7771,005001..10000,2
201744,polyester,3,8290,005001..10000,3
201748,polyester,1,7809,005001..10000,2
201749,polyester,0,8901,005001..10000,2
201750,polyester,3,8267,005001..10000,2
201751,polyester,0,6907,005001..10000,3
201752,polyester,1,5971,005001..10000,2
201753,polyester,0,9816,005001..10000,1
201801,polyester,0,5775,005001..10000,1
201802,polyester,1,7369,005001..10000,2
201803,polyester,2,9178,005001..10000,2
201804,polyester,1,8184,005001..10000,4
201805,polyester,2,7701,005001..10000,4
201806,polyester,0,6764,005001..10000,5
201807,polyester,0,6833,005001..10000,3
201808,polyester,0,5854,005001..10000,3
201809,polyester,4,6152,005001..10000,2
201810,polyester,1,7575,005001..10000,3
201811,polyester,2,7428,005001..10000,2
201812,polyester,7,7676,005001..10000,2
201813,polyester,0,6036,005001..10000,2
201814,polyester,1,6494,005001..10000,3
201815,polyester,0,7435,005001..10000,3
201816,polyester,0,7878,005001..10000,3
201817,polyester,0,7600,005001..10000,3
201818,polyester,1,6743,005001..10000,4
201822,polyester,0,7742,005001..10000,376
201823,polyester,0,8347,005001..10000,363
201824,polyester,0,7869,005001..10000,372
201825,polyester,0,8125,005001..10000,394
201826,polyester,0,7936,005001..10000,510
201827,polyester,0,7696,005001..10000,545
201828,polyester,2,7058,005001..10000,468
201829,polyester,1,6996,005001..10000,469
201830,polyester,1,7202,005001..10000,480
201831,polyester,2,7228,005001..10000,591
201832,polyester,2,7634,005001..10000,608
201833,polyester,2,7401,005001..10000,581
201834,polyester,5,7354,005001..10000,578
201835,polyester,1,7336,005001..10000,704
201836,polyester,2,7241,005001..10000,663
201837,polyester,1,6778,005001..10000,972
201838,polyester,1,6884,005001..10000,907
201839,polyester,1,6669,005001..10000,1002
201840,polyester,3,7109,005001..10000,1111
201841,polyester,1,6947,005001..10000,1208
201842,polyester,0,7172,005001..10000,1217
201843,polyester,1,7803,005001..10000,1098
