yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201531,polyester,11,344496,300000+,1
201536,polyester,5,333802,300000+,1
201544,polyester,3,396446,300000+,1
201549,polyester,1,347492,300000+,2
201550,polyester,0,398665,300000+,2
201551,polyester,1,444956,300000+,1
201552,polyester,2,407530,300000+,1
201611,polyester,3,383446,300000+,1
201612,polyester,3,380508,300000+,1
201614,polyester,1,382214,300000+,1
201620,polyester,0,363954,300000+,1
201625,polyester,3,326876,300000+,1
201627,polyester,5,330253,300000+,1
201628,polyester,5,301700,300000+,1
201631,polyester,7,857612,300000+,7
201632,polyester,3,1011317,300000+,6
201633,polyester,4,1051610,300000+,6
201634,polyester,2,1093169,300000+,6
201635,polyester,3,1116492,300000+,6
201636,polyester,4,1025771,300000+,7
201637,polyester,0,1154294,300000+,6
201638,polyester,5,1171633,300000+,6
201639,polyester,4,1197100,300000+,6
201640,polyester,2,1113152,300000+,7
201641,polyester,4,1131545,300000+,7
201642,polyester,3,1060160,300000+,8
201643,polyester,1,1155757,300000+,7
201644,polyester,3,1325878,300000+,6
201645,polyester,5,1356186,300000+,5
201702,polyester,6,1012935,300000+,36
201703,polyester,2,802485,300000+,11
201704,polyester,2,629995,300000+,1
201705,polyester,1,906311,300000+,1
201706,polyester,1,1149279,300000+,1
201707,polyester,2,610473,300000+,1
201708,polyester,3,1204230,300000+,3
201709,polyester,6,1304446,300000+,3
201712,polyester,1,1375973,300000+,1
201713,polyester,1,1781079,300000+,1
201720,polyester,2,992987,300000+,1
201721,polyester,43,465834,300000+,2
201722,polyester,3,1023235,300000+,17
201723,polyester,2,1033915,300000+,1
201724,polyester,5,432064,300000+,1
201725,polyester,12,549338,300000+,1
201726,polyester,32,628470,300000+,2
201727,polyester,8,1021768,300000+,2
201728,polyester,3,1530199,300000+,2
201729,polyester,4,1974825,300000+,2
201730,polyester,2,2379400,300000+,2
201731,polyester,1,1393557,300000+,3
201732,polyester,1,1393026,300000+,3
201733,polyester,2,1468217,300000+,3
201734,polyester,2,1282799,300000+,4
201735,polyester,2,1511505,300000+,3
201736,polyester,3,399751,300000+,4
201737,polyester,1,794023,300000+,12
201738,polyester,1,529223,300000+,9
201739,polyester,1,668240,300000+,9
201740,polyester,2,546358,300000+,8
201741,polyester,4,759199,300000+,8
201742,polyester,2,1061309,300000+,6
201743,polyester,0,1190429,300000+,6
201744,polyester,3,1234712,300000+,8
201748,polyester,1,2820417,300000+,13
201749,polyester,0,2375053,300000+,13
201750,polyester,3,1618249,300000+,12
201751,polyester,0,2381596,300000+,14
201752,polyester,1,2356107,300000+,15
201753,polyester,0,2936937,300000+,5
201801,polyester,0,3202513,300000+,6
201802,polyester,1,4313026,300000+,7
201803,polyester,2,3388376,300000+,11
201804,polyester,1,3554763,300000+,8
201805,polyester,2,4706708,300000+,10
201806,polyester,0,3944424,300000+,9
201807,polyester,0,3244681,300000+,6
201808,polyester,0,4674269,300000+,7
201809,polyester,4,2915282,300000+,8
201810,polyester,1,3019323,300000+,12
201811,polyester,2,2491414,300000+,9
201812,polyester,7,3259422,300000+,12
201813,polyester,0,4807693,300000+,11
201814,polyester,1,2822746,300000+,21
201815,polyester,0,2155031,300000+,25
201816,polyester,0,2168585,300000+,25
201817,polyester,0,2725119,300000+,9
201818,polyester,1,3056216,300000+,10
201822,polyester,0,2092981,300000+,93
201823,polyester,0,1629176,300000+,121
201824,polyester,0,1837780,300000+,105
201825,polyester,0,1657156,300000+,123
201826,polyester,0,1813915,300000+,112
201827,polyester,0,2024405,300000+,96
201828,polyester,2,1723841,300000+,126
201829,polyester,1,2004871,300000+,108
201830,polyester,1,1876661,300000+,108
201831,polyester,2,1790052,300000+,104
201832,polyester,2,1960492,300000+,105
201833,polyester,2,1779413,300000+,97
201834,polyester,5,1591764,300000+,111
201835,polyester,1,1459143,300000+,147
201836,polyester,2,1674500,300000+,98
201837,polyester,1,1493598,300000+,111
201838,polyester,1,1489395,300000+,121
201839,polyester,1,1660820,300000+,100
201840,polyester,3,1264567,300000+,92
201841,polyester,1,1017318,300000+,100
201842,polyester,0,1252593,300000+,96
201843,polyester,1,1440114,300000+,100
