yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,purple,48,33,0..1000,1
201712,purple,46,28,0..1000,1
201713,purple,34,40,0..1000,1
201714,purple,38,41,0..1000,1
201715,purple,26,65,0..1000,1
201716,purple,18,63,0..1000,1
201717,purple,36,64,0..1000,1
201718,purple,32,63,0..1000,1
201719,purple,36,73,0..1000,1
201720,purple,36,78,0..1000,1
201721,purple,48,89,0..1000,1
201722,purple,34,90,0..1000,1
201723,purple,26,123,0..1000,1
201724,purple,32,166,0..1000,1
201725,purple,20,174,0..1000,1
201726,purple,38,182,0..1000,1
201727,purple,60,149,0..1000,1
201728,purple,38,367,0..1000,1
201729,purple,34,131,0..1000,1
201730,purple,20,141,0..1000,1
201731,purple,10,135,0..1000,1
201732,purple,30,104,0..1000,1
201733,purple,40,89,0..1000,1
201734,purple,30,83,0..1000,1
201735,purple,28,183,0..1000,1
201736,purple,34,139,0..1000,1
201737,purple,18,187,0..1000,1
201738,purple,48,142,0..1000,1
201739,purple,50,126,0..1000,1
201740,purple,34,115,0..1000,1
201741,purple,34,166,0..1000,1
201742,purple,20,204,0..1000,1
201743,purple,26,362,0..1000,1
201744,purple,18,234,0..1000,1
201752,purple,12,543,0..1000,1
201753,purple,0,351,0..1000,1
201801,purple,44,378,0..1000,1
201802,purple,12,207,0..1000,1
201803,purple,22,155,0..1000,1
201804,purple,16,120,0..1000,1
201805,purple,8,85,0..1000,1
201806,purple,18,91,0..1000,1
201807,purple,12,84,0..1000,1
201808,purple,20,58,0..1000,1
201809,purple,22,37,0..1000,1
201810,purple,8,52,0..1000,1
201811,purple,18,58,0..1000,1
201812,purple,8,55,0..1000,1
201813,purple,24,42,0..1000,1
201814,purple,16,43,0..1000,1
201815,purple,10,45,0..1000,1
201816,purple,2,53,0..1000,1
201817,purple,12,62,0..1000,1
201818,purple,2,85,0..1000,1
201822,purple,12,261,0..1000,175
201823,purple,20,294,0..1000,186
201824,purple,6,290,0..1000,176
201825,purple,8,405,0..1000,217
201826,purple,2,334,0..1000,182
201827,purple,2,425,0..1000,191
201828,purple,10,394,0..1000,237
201829,purple,12,335,0..1000,246
201830,purple,24,318,0..1000,225
201831,purple,24,387,0..1000,283
201832,purple,26,406,0..1000,280
201833,purple,18,387,0..1000,300
201834,purple,10,425,0..1000,313
201835,purple,18,427,0..1000,321
201836,purple,22,368,0..1000,286
201837,purple,14,373,0..1000,277
201838,purple,22,326,0..1000,270
201839,purple,12,305,0..1000,301
201840,purple,16,349,0..1000,312
201841,purple,8,277,0..1000,233
201842,purple,26,255,0..1000,203
201843,purple,14,300,0..1000,209
