yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201631,purple,70,950427,300000+,6
201632,purple,72,1011317,300000+,6
201633,purple,64,1051610,300000+,6
201634,purple,54,1093169,300000+,6
201635,purple,66,1116492,300000+,6
201636,purple,98,1136215,300000+,6
201637,purple,70,1154294,300000+,6
201638,purple,54,1171633,300000+,6
201639,purple,66,1197100,300000+,6
201640,purple,62,1213635,300000+,6
201641,purple,28,1241102,300000+,6
201642,purple,74,1265382,300000+,6
201643,purple,76,1295338,300000+,6
201644,purple,86,1325878,300000+,6
201645,purple,54,1356186,300000+,5
201722,purple,34,619860,300000+,2
201725,purple,20,5040969,300000+,1
201726,purple,38,5067439,300000+,1
201727,purple,60,5082654,300000+,1
201728,purple,38,5133938,300000+,1
201729,purple,34,5175127,300000+,1
201730,purple,20,5204047,300000+,1
201731,purple,10,5244984,300000+,1
201732,purple,30,5296670,300000+,1
201733,purple,40,5365021,300000+,1
201734,purple,30,5432731,300000+,1
201735,purple,28,2469260,300000+,3
201736,purple,34,3463249,300000+,2
201737,purple,18,5569714,300000+,1
201738,purple,48,5607729,300000+,1
201748,purple,8,385158,300000+,1
201801,purple,44,11221347,300000+,1
201802,purple,12,6530663,300000+,1
201803,purple,22,446079,300000+,1
201804,purple,16,6617192,300000+,1
201805,purple,8,2592166,300000+,1
201806,purple,18,6700988,300000+,1
201808,purple,20,6725884,300000+,1
201810,purple,8,6831069,300000+,1
201812,purple,8,6909242,300000+,1
201813,purple,24,420343,300000+,1
201814,purple,16,3790001,300000+,2
201815,purple,10,1573307,300000+,1
201816,purple,2,4069231,300000+,2
201817,purple,12,604330,300000+,2
201818,purple,2,3819283,300000+,2
201822,purple,12,1396652,300000+,10
201823,purple,20,1253728,300000+,15
201824,purple,6,1502178,300000+,9
201825,purple,8,1487779,300000+,9
201826,purple,2,1494619,300000+,9
201827,purple,2,1591802,300000+,8
201828,purple,10,2443024,300000+,4
201829,purple,12,1391560,300000+,10
201830,purple,24,2224109,300000+,7
201831,purple,24,1137958,300000+,13
201832,purple,26,1576525,300000+,10
201833,purple,18,1358722,300000+,9
201834,purple,10,2491672,300000+,4
201835,purple,18,2877223,300000+,4
201836,purple,22,2005747,300000+,5
201837,purple,14,4490740,300000+,2
201838,purple,22,2222845,300000+,5
201839,purple,12,1520472,300000+,8
201840,purple,16,8596767,300000+,1
201841,purple,8,1167555,300000+,10
201842,purple,26,1755534,300000+,6
201843,purple,14,808566,300000+,19
