yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201519,red,135,299,0..1000,1
201521,red,140,175,0..1000,1
201522,red,46,160,0..1000,1
201523,red,21,151,0..1000,1
201524,red,50,139,0..1000,1
201525,red,54,174,0..1000,1
201526,red,170,130,0..1000,1
201527,red,213,104,0..1000,1
201528,red,140,119,0..1000,1
201529,red,154,174,0..1000,1
201635,red,123,931,0..1000,1
201637,red,106,382,0..1000,1
201638,red,146,322,0..1000,1
201639,red,148,422,0..1000,1
201640,red,82,440,0..1000,1
201641,red,51,627,0..1000,1
201642,red,124,997,0..1000,1
201646,red,95,879,0..1000,1
201701,red,100,960,0..1000,1
201703,red,149,972,0..1000,1
201713,red,120,956,0..1000,1
201714,red,122,761,0..1000,1
201715,red,64,806,0..1000,1
201716,red,94,664,0..1000,1
201717,red,96,605,0..1000,1
201811,red,68,72,0..1000,1
201812,red,49,147,0..1000,1
201813,red,35,85,0..1000,1
201814,red,43,117,0..1000,1
201815,red,43,62,0..1000,1
201816,red,17,49,0..1000,1
201817,red,24,64,0..1000,1
201818,red,39,104,0..1000,1
201822,red,20,259,0..1000,292
201823,red,39,275,0..1000,316
201824,red,31,279,0..1000,312
201825,red,15,331,0..1000,357
201826,red,30,295,0..1000,365
201827,red,12,323,0..1000,379
201828,red,37,325,0..1000,405
201829,red,22,314,0..1000,400
201830,red,61,349,0..1000,421
201831,red,41,378,0..1000,489
201832,red,25,368,0..1000,490
201833,red,45,348,0..1000,506
201834,red,40,406,0..1000,550
201835,red,47,408,0..1000,559
201836,red,59,423,0..1000,521
201837,red,55,447,0..1000,486
201838,red,51,351,0..1000,422
201839,red,32,289,0..1000,429
201840,red,52,341,0..1000,479
201841,red,67,285,0..1000,449
201842,red,65,370,0..1000,439
201843,red,40,425,0..1000,427
