yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201701,red,100,1278981,300000+,2
201702,red,207,1331010,300000+,2
201703,red,149,1082853,300000+,1
201704,red,132,1319359,300000+,1
201705,red,95,1576898,300000+,1
201706,red,131,1600411,300000+,1
201707,red,165,1637827,300000+,1
201708,red,152,1648940,300000+,1
201709,red,244,1697354,300000+,1
201711,red,136,1757876,300000+,1
201719,red,102,7257117,300000+,1
201721,red,260,300131,300000+,1
201736,red,74,547307,300000+,3
201737,red,54,661503,300000+,15
201738,red,115,739398,300000+,16
201741,red,41,473214,300000+,3
201742,red,60,561046,300000+,3
201743,red,50,864927,300000+,1
201744,red,20,1066154,300000+,1
201748,red,11,1360465,300000+,3
201749,red,163,1070955,300000+,4
201750,red,85,1335855,300000+,3
201751,red,31,628980,300000+,5
201752,red,72,777755,300000+,5
201753,red,13,986807,300000+,4
201801,red,73,1037464,300000+,4
201802,red,79,906264,300000+,5
201803,red,99,886842,300000+,6
201804,red,159,864608,300000+,7
201805,red,36,1023730,300000+,6
201806,red,38,1026734,300000+,7
201807,red,73,1096130,300000+,7
201808,red,52,1191752,300000+,7
201809,red,199,1268885,300000+,7
201810,red,55,1221718,300000+,7
201811,red,68,973237,300000+,7
201812,red,49,988753,300000+,7
201813,red,35,1168892,300000+,7
201814,red,43,1258276,300000+,5
201815,red,43,892289,300000+,6
201816,red,17,997426,300000+,7
201817,red,24,1143744,300000+,7
201818,red,39,1180800,300000+,7
201822,red,20,1004962,300000+,38
201823,red,39,901723,300000+,44
201824,red,31,1009669,300000+,36
201825,red,15,1065655,300000+,39
201826,red,30,1108716,300000+,43
201827,red,12,1087843,300000+,44
201828,red,37,1166467,300000+,37
201829,red,22,993024,300000+,52
201830,red,61,1066779,300000+,58
201831,red,41,915116,300000+,40
201832,red,25,916354,300000+,42
201833,red,45,848910,300000+,36
201834,red,40,1013606,300000+,35
201835,red,47,909434,300000+,33
201836,red,59,943310,300000+,36
201837,red,55,911750,300000+,46
201838,red,51,1096654,300000+,48
201839,red,32,1065818,300000+,37
201840,red,52,1004374,300000+,35
201841,red,67,849927,300000+,41
201842,red,65,843651,300000+,22
201843,red,40,714732,300000+,29
