yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201730,retro,28,7071,005001..10000,1
201735,retro,17,7427,005001..10000,1
201736,retro,26,8277,005001..10000,1
201737,retro,26,7314,005001..10000,1
201738,retro,33,7623,005001..10000,1
201739,retro,26,7572,005001..10000,1
201740,retro,18,8143,005001..10000,1
201741,retro,11,6336,005001..10000,1
201742,retro,18,7962,005001..10000,1
201743,retro,12,8609,005001..10000,1
201744,retro,7,8580,005001..10000,1
201752,retro,19,8996,005001..10000,1
201753,retro,3,8313,005001..10000,1
201801,retro,16,9036,005001..10000,1
201802,retro,20,7255,005001..10000,1
201803,retro,37,6210,005001..10000,1
201804,retro,15,6530,005001..10000,1
201805,retro,10,6473,005001..10000,1
201806,retro,11,7068,005001..10000,1
201807,retro,15,8075,005001..10000,2
201808,retro,44,7487,005001..10000,2
201809,retro,27,6072,005001..10000,1
201810,retro,23,5153,005001..10000,1
201812,retro,11,5915,005001..10000,1
201813,retro,33,5660,005001..10000,1
201814,retro,11,7072,005001..10000,1
201815,retro,6,5337,005001..10000,1
201816,retro,9,5360,005001..10000,1
201817,retro,7,6189,005001..10000,1
201822,retro,6,6592,005001..10000,127
201823,retro,7,7079,005001..10000,133
201824,retro,6,8166,005001..10000,135
201825,retro,3,8011,005001..10000,140
201826,retro,8,7428,005001..10000,157
201827,retro,1,7350,005001..10000,155
201828,retro,16,6841,005001..10000,135
201829,retro,11,6962,005001..10000,175
201830,retro,11,7747,005001..10000,188
201831,retro,17,6094,005001..10000,172
201832,retro,25,6676,005001..10000,136
201833,retro,23,6551,005001..10000,163
201834,retro,13,5998,005001..10000,200
201835,retro,13,6651,005001..10000,199
201836,retro,11,5684,005001..10000,86
201837,retro,15,6319,005001..10000,67
201838,retro,12,5793,005001..10000,57
201839,retro,12,6385,005001..10000,8
201840,retro,10,6556,005001..10000,13
201841,retro,9,5804,005001..10000,81
201842,retro,10,7059,005001..10000,82
201843,retro,9,7368,005001..10000,138
