yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,rose,51,33,0..1000,1
201712,rose,37,28,0..1000,1
201713,rose,39,40,0..1000,1
201714,rose,29,41,0..1000,1
201715,rose,30,65,0..1000,1
201716,rose,20,63,0..1000,1
201717,rose,40,64,0..1000,1
201718,rose,41,63,0..1000,1
201719,rose,50,73,0..1000,1
201720,rose,32,78,0..1000,1
201721,rose,48,89,0..1000,1
201722,rose,26,90,0..1000,1
201723,rose,33,123,0..1000,1
201724,rose,40,166,0..1000,1
201725,rose,43,174,0..1000,1
201726,rose,38,182,0..1000,1
201727,rose,37,149,0..1000,1
201728,rose,36,367,0..1000,1
201729,rose,51,131,0..1000,1
201730,rose,38,141,0..1000,1
201731,rose,28,135,0..1000,1
201732,rose,28,104,0..1000,1
201733,rose,33,89,0..1000,1
201734,rose,52,83,0..1000,1
201735,rose,38,183,0..1000,1
201736,rose,21,139,0..1000,1
201737,rose,33,187,0..1000,1
201738,rose,17,142,0..1000,1
201739,rose,32,126,0..1000,1
201740,rose,33,115,0..1000,1
201741,rose,26,166,0..1000,1
201742,rose,27,204,0..1000,1
201743,rose,10,362,0..1000,1
201744,rose,8,234,0..1000,1
201752,rose,31,543,0..1000,1
201753,rose,4,351,0..1000,1
201801,rose,14,378,0..1000,1
201802,rose,20,207,0..1000,1
201803,rose,31,155,0..1000,1
201804,rose,13,120,0..1000,1
201805,rose,17,85,0..1000,1
201806,rose,22,91,0..1000,1
201807,rose,11,84,0..1000,1
201808,rose,13,58,0..1000,1
201809,rose,20,37,0..1000,1
201810,rose,42,52,0..1000,1
201811,rose,18,65,0..1000,2
201812,rose,12,101,0..1000,2
201813,rose,10,63,0..1000,2
201814,rose,14,80,0..1000,2
201815,rose,8,53,0..1000,2
201816,rose,8,51,0..1000,2
201817,rose,7,63,0..1000,2
201818,rose,11,94,0..1000,2
201822,rose,12,469,0..1000,294
201823,rose,14,448,0..1000,285
201824,rose,11,433,0..1000,289
201825,rose,4,399,0..1000,288
201826,rose,4,410,0..1000,293
201827,rose,11,366,0..1000,281
201828,rose,20,383,0..1000,302
201829,rose,17,468,0..1000,296
201830,rose,14,342,0..1000,302
201831,rose,23,381,0..1000,318
201832,rose,9,336,0..1000,314
201833,rose,19,319,0..1000,329
201834,rose,13,382,0..1000,350
201835,rose,155,371,0..1000,339
201836,rose,104,394,0..1000,352
201837,rose,11,371,0..1000,348
201838,rose,11,400,0..1000,356
201839,rose,15,388,0..1000,362
201840,rose,14,363,0..1000,340
201841,rose,7,437,0..1000,264
201842,rose,20,244,0..1000,169
201843,rose,12,341,0..1000,175
