yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201623,rose,14,2003319,300000+,1
201624,rose,30,2022850,300000+,1
201625,rose,42,2043363,300000+,1
201626,rose,37,2056520,300000+,1
201631,rose,60,950427,300000+,6
201632,rose,42,1011317,300000+,6
201633,rose,42,1051610,300000+,6
201634,rose,23,1093169,300000+,6
201635,rose,55,1116492,300000+,6
201636,rose,37,1136215,300000+,6
201637,rose,30,1154294,300000+,6
201638,rose,45,1171633,300000+,6
201639,rose,44,1197100,300000+,6
201640,rose,33,1213635,300000+,6
201641,rose,20,1241102,300000+,6
201642,rose,20,1265382,300000+,6
201643,rose,39,1295338,300000+,6
201644,rose,34,1325878,300000+,6
201645,rose,45,1356186,300000+,5
201701,rose,57,1064890,300000+,1
201702,rose,35,751393,300000+,2
201703,rose,54,859312,300000+,2
201704,rose,74,1591716,300000+,2
201705,rose,34,2498392,300000+,1
201706,rose,38,2807290,300000+,1
201707,rose,52,3110928,300000+,1
201708,rose,48,3331079,300000+,1
201709,rose,40,3509007,300000+,1
201710,rose,77,3643925,300000+,1
201711,rose,51,3738369,300000+,1
201712,rose,37,3829540,300000+,1
201713,rose,39,3882510,300000+,1
201714,rose,29,3916728,300000+,1
201715,rose,30,3948182,300000+,1
201716,rose,20,3973432,300000+,1
201717,rose,40,4007543,300000+,1
201718,rose,41,4053007,300000+,1
201719,rose,50,4096489,300000+,1
201720,rose,32,4149103,300000+,1
201721,rose,48,4194166,300000+,1
201722,rose,26,4220770,300000+,1
201723,rose,33,4246407,300000+,1
201724,rose,40,4285576,300000+,1
201725,rose,43,4309740,300000+,1
201726,rose,38,4325754,300000+,1
201727,rose,37,4340914,300000+,1
201728,rose,36,4376446,300000+,1
201729,rose,51,4404911,300000+,1
201730,rose,38,4436076,300000+,1
201731,rose,28,4480396,300000+,1
201732,rose,28,4535206,300000+,1
201733,rose,33,4579538,300000+,1
201734,rose,52,4619692,300000+,1
201735,rose,38,4674029,300000+,1
201736,rose,21,4712995,300000+,1
201737,rose,33,1413299,300000+,5
201738,rose,17,400207,300000+,2
201739,rose,32,1469905,300000+,5
201740,rose,33,622569,300000+,4
201741,rose,26,712265,300000+,4
201742,rose,27,1596952,300000+,5
201743,rose,10,903011,300000+,4
201744,rose,8,1605650,300000+,5
201748,rose,15,2371333,300000+,4
201749,rose,29,1128213,300000+,4
201750,rose,61,2416840,300000+,4
201751,rose,55,1027973,300000+,4
201752,rose,31,2228321,300000+,4
201753,rose,4,1108222,300000+,3
201801,rose,14,755756,300000+,4
201802,rose,20,2070427,300000+,4
201803,rose,31,816453,300000+,4
201804,rose,13,1758909,300000+,5
201805,rose,17,1256033,300000+,4
201806,rose,22,735665,300000+,4
201807,rose,11,1942361,300000+,4
201808,rose,13,1642957,300000+,5
201809,rose,20,739099,300000+,3
201810,rose,42,2068250,300000+,4
201811,rose,18,675793,300000+,4
201812,rose,12,1944299,300000+,4
201813,rose,10,658626,300000+,4
201814,rose,14,2089685,300000+,4
201816,rose,8,3203115,300000+,2
201822,rose,12,746079,300000+,14
201823,rose,14,914099,300000+,15
201824,rose,11,800441,300000+,14
201825,rose,4,834227,300000+,16
201826,rose,4,857949,300000+,19
201827,rose,11,811189,300000+,17
201828,rose,20,785332,300000+,14
201829,rose,17,727669,300000+,14
201830,rose,14,871004,300000+,17
201831,rose,23,596807,300000+,20
201832,rose,9,776746,300000+,21
201833,rose,19,535893,300000+,15
201834,rose,13,724553,300000+,9
201835,rose,155,588146,300000+,13
201836,rose,104,723497,300000+,15
201837,rose,11,944041,300000+,12
201838,rose,11,1265972,300000+,13
201839,rose,15,1265154,300000+,13
201840,rose,14,934120,300000+,11
201841,rose,7,1006607,300000+,8
201842,rose,20,574867,300000+,6
201843,rose,12,847628,300000+,3
