yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,satin,9,424,0..1000,1
201712,satin,14,372,0..1000,1
201713,satin,13,181,0..1000,1
201714,satin,6,140,0..1000,1
201715,satin,3,216,0..1000,1
201716,satin,4,321,0..1000,1
201717,satin,8,233,0..1000,1
201718,satin,12,331,0..1000,1
201719,satin,5,364,0..1000,1
201720,satin,3,268,0..1000,1
201721,satin,7,290,0..1000,1
201722,satin,10,246,0..1000,1
201723,satin,5,296,0..1000,1
201724,satin,10,321,0..1000,1
201725,satin,2,297,0..1000,1
201726,satin,8,321,0..1000,1
201727,satin,6,347,0..1000,1
201728,satin,3,366,0..1000,1
201729,satin,5,621,0..1000,2
201730,satin,5,591,0..1000,2
201731,satin,6,533,0..1000,2
201732,satin,4,548,0..1000,2
201733,satin,4,497,0..1000,2
201734,satin,8,562,0..1000,2
201735,satin,6,522,0..1000,2
201736,satin,5,493,0..1000,2
201737,satin,10,368,0..1000,2
201738,satin,13,371,0..1000,2
201739,satin,10,384,0..1000,2
201740,satin,15,297,0..1000,2
201741,satin,9,302,0..1000,2
201742,satin,4,481,0..1000,2
201743,satin,2,784,0..1000,2
201744,satin,3,426,0..1000,2
201748,satin,0,436,0..1000,2
201749,satin,1,793,0..1000,2
201750,satin,5,576,0..1000,1
201751,satin,0,328,0..1000,1
201752,satin,6,338,0..1000,2
201753,satin,1,215,0..1000,1
201801,satin,4,460,0..1000,2
201802,satin,4,361,0..1000,2
201803,satin,3,443,0..1000,2
201804,satin,1,323,0..1000,2
201805,satin,2,266,0..1000,2
201806,satin,2,272,0..1000,2
201807,satin,3,242,0..1000,2
201808,satin,5,262,0..1000,2
201809,satin,6,335,0..1000,2
201810,satin,4,280,0..1000,2
201811,satin,4,384,0..1000,2
201812,satin,8,391,0..1000,2
201813,satin,3,523,0..1000,2
201814,satin,4,430,0..1000,2
201815,satin,4,448,0..1000,2
201816,satin,0,487,0..1000,2
201817,satin,1,511,0..1000,2
201818,satin,1,562,0..1000,2
201822,satin,0,711,0..1000,364
201823,satin,3,756,0..1000,317
201824,satin,1,696,0..1000,199
201825,satin,1,559,0..1000,155
201826,satin,0,738,0..1000,412
201827,satin,0,724,0..1000,424
201828,satin,1,719,0..1000,413
201829,satin,3,249,0..1000,151
201830,satin,3,656,0..1000,283
201831,satin,2,760,0..1000,422
201832,satin,4,662,0..1000,463
201833,satin,3,611,0..1000,424
201834,satin,0,624,0..1000,429
201835,satin,4,576,0..1000,462
201836,satin,1,558,0..1000,449
201837,satin,2,733,0..1000,429
201838,satin,3,611,0..1000,483
201839,satin,0,354,0..1000,293
201840,satin,1,649,0..1000,485
201841,satin,3,547,0..1000,343
201842,satin,3,585,0..1000,220
201843,satin,1,651,0..1000,275
