yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201736,satin,5,875327,300000+,1
201737,satin,10,2114644,300000+,1
201738,satin,13,3127488,300000+,1
201739,satin,10,3560688,300000+,1
201740,satin,15,1721751,300000+,3
201741,satin,9,3682321,300000+,2
201742,satin,4,4759843,300000+,2
201743,satin,2,5635336,300000+,2
201744,satin,3,6377270,300000+,2
201748,satin,0,9286082,300000+,2
201749,satin,1,8696153,300000+,1
201751,satin,0,9841870,300000+,2
201752,satin,6,10184597,300000+,2
201801,satin,4,10504498,300000+,1
201802,satin,4,10388833,300000+,2
201803,satin,3,7120146,300000+,3
201804,satin,1,11161501,300000+,1
201805,satin,2,11432969,300000+,2
201806,satin,2,11548781,300000+,2
201807,satin,3,11912574,300000+,1
201808,satin,5,11707277,300000+,2
201809,satin,6,12093328,300000+,1
201810,satin,4,11978556,300000+,2
201811,satin,4,7521524,300000+,1
201812,satin,8,6556662,300000+,2
201813,satin,3,7200923,300000+,2
201814,satin,4,7168680,300000+,2
201815,satin,4,6429619,300000+,2
201816,satin,0,12301249,300000+,1
201817,satin,1,7666799,300000+,2
201818,satin,1,7900703,300000+,2
201822,satin,0,2175228,300000+,11
201823,satin,3,1155247,300000+,34
201824,satin,1,2592229,300000+,9
201825,satin,1,1630636,300000+,17
201826,satin,0,1498414,300000+,20
201827,satin,0,1553576,300000+,20
201828,satin,1,1902250,300000+,15
201829,satin,3,2044567,300000+,14
201830,satin,3,3488431,300000+,7
201831,satin,2,1699405,300000+,15
201832,satin,4,3455380,300000+,7
201833,satin,3,3757972,300000+,7
201834,satin,0,2224510,300000+,14
201835,satin,4,2542737,300000+,13
201836,satin,1,1106079,300000+,15
201837,satin,2,1147832,300000+,17
201838,satin,3,1702070,300000+,13
201839,satin,0,1461118,300000+,13
201840,satin,1,1251410,300000+,14
201841,satin,3,1149933,300000+,17
201842,satin,3,718716,300000+,17
201843,satin,1,852791,300000+,17
