yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,slip on,4,403,0..1000,2
201712,slip on,7,28,0..1000,1
201713,slip on,2,448,0..1000,2
201714,slip on,12,523,0..1000,3
201715,slip on,6,339,0..1000,3
201716,slip on,2,235,0..1000,3
201717,slip on,9,265,0..1000,3
201718,slip on,0,180,0..1000,3
201719,slip on,30,305,0..1000,3
201720,slip on,6,197,0..1000,3
201721,slip on,2,268,0..1000,3
201722,slip on,6,297,0..1000,3
201723,slip on,9,348,0..1000,3
201724,slip on,8,257,0..1000,3
201725,slip on,3,204,0..1000,3
201726,slip on,5,210,0..1000,3
201727,slip on,12,241,0..1000,3
201728,slip on,4,409,0..1000,3
201729,slip on,3,336,0..1000,3
201730,slip on,1,361,0..1000,3
201731,slip on,1,131,0..1000,2
201732,slip on,2,125,0..1000,2
201733,slip on,4,443,0..1000,3
201734,slip on,1,161,0..1000,2
201735,slip on,3,244,0..1000,2
201736,slip on,9,230,0..1000,2
201737,slip on,2,284,0..1000,2
201738,slip on,8,290,0..1000,2
201739,slip on,5,313,0..1000,2
201740,slip on,7,507,0..1000,2
201741,slip on,4,166,0..1000,1
201742,slip on,5,204,0..1000,1
201743,slip on,7,362,0..1000,1
201744,slip on,3,234,0..1000,1
201752,slip on,1,543,0..1000,1
201753,slip on,0,351,0..1000,1
201801,slip on,5,378,0..1000,1
201802,slip on,1,207,0..1000,1
201803,slip on,1,155,0..1000,1
201804,slip on,2,120,0..1000,1
201805,slip on,0,85,0..1000,1
201806,slip on,1,91,0..1000,1
201807,slip on,0,84,0..1000,1
201808,slip on,3,58,0..1000,1
201809,slip on,3,37,0..1000,1
201810,slip on,3,52,0..1000,1
201811,slip on,1,58,0..1000,1
201812,slip on,3,365,0..1000,2
201813,slip on,1,280,0..1000,2
201814,slip on,2,163,0..1000,2
201815,slip on,0,171,0..1000,2
201816,slip on,0,357,0..1000,3
201817,slip on,0,303,0..1000,3
201818,slip on,0,208,0..1000,3
201822,slip on,0,486,0..1000,214
201823,slip on,0,502,0..1000,213
201824,slip on,1,368,0..1000,169
201825,slip on,0,342,0..1000,166
201826,slip on,2,481,0..1000,232
201827,slip on,0,482,0..1000,235
201828,slip on,0,460,0..1000,251
201829,slip on,2,242,0..1000,162
201830,slip on,1,393,0..1000,192
201831,slip on,2,411,0..1000,253
201832,slip on,4,390,0..1000,257
201833,slip on,1,363,0..1000,254
201834,slip on,2,354,0..1000,258
201835,slip on,2,409,0..1000,266
201836,slip on,3,413,0..1000,266
201837,slip on,2,432,0..1000,252
201838,slip on,1,382,0..1000,252
201839,slip on,2,321,0..1000,195
201840,slip on,2,510,0..1000,255
201841,slip on,1,424,0..1000,95
201842,slip on,3,319,0..1000,64
201843,slip on,1,505,0..1000,104
