yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201552,slip on,5,3222007,300000+,1
201602,slip on,6,3236801,300000+,1
201603,slip on,7,3251841,300000+,1
201604,slip on,4,3249672,300000+,1
201605,slip on,7,1991945,300000+,2
201606,slip on,3,2110637,300000+,2
201607,slip on,7,2268765,300000+,2
201608,slip on,21,2410552,300000+,2
201609,slip on,3,2540735,300000+,2
201610,slip on,4,2709049,300000+,2
201611,slip on,8,2425927,300000+,2
201612,slip on,11,1541683,300000+,2
201613,slip on,13,1821217,300000+,2
201614,slip on,13,2006179,300000+,2
201615,slip on,5,2188336,300000+,2
201616,slip on,7,2379868,300000+,2
201617,slip on,14,2536416,300000+,2
201618,slip on,4,2677662,300000+,2
201619,slip on,13,2780351,300000+,2
201620,slip on,10,2862416,300000+,2
201621,slip on,5,2906074,300000+,2
201622,slip on,3,1960692,300000+,2
201623,slip on,13,2202462,300000+,2
201624,slip on,5,2371831,300000+,2
201625,slip on,38,2552756,300000+,2
201626,slip on,20,2697057,300000+,2
201627,slip on,16,2805189,300000+,2
201628,slip on,31,2887141,300000+,2
201629,slip on,18,2967787,300000+,2
201630,slip on,23,3008797,300000+,2
201631,slip on,17,1473028,300000+,8
201632,slip on,27,1404583,300000+,9
201633,slip on,28,1462959,300000+,9
201634,slip on,16,1508210,300000+,9
201635,slip on,15,1537723,300000+,9
201636,slip on,20,1563545,300000+,9
201637,slip on,18,1585867,300000+,9
201638,slip on,7,1607261,300000+,9
201639,slip on,5,1636682,300000+,9
201640,slip on,9,1657980,300000+,9
201641,slip on,1,1689231,300000+,9
201642,slip on,3,1719811,300000+,9
201643,slip on,12,1754873,300000+,9
201644,slip on,3,1406249,300000+,9
201645,slip on,6,1539842,300000+,8
201646,slip on,19,1999953,300000+,3
201647,slip on,25,2144273,300000+,3
201648,slip on,18,2330199,300000+,3
201701,slip on,3,2993125,300000+,3
201702,slip on,6,2598265,300000+,4
201703,slip on,6,2533781,300000+,4
201704,slip on,2,2545319,300000+,4
201705,slip on,0,3622135,300000+,4
201706,slip on,4,3103630,300000+,3
201707,slip on,2,3718142,300000+,4
201708,slip on,11,3104155,300000+,3
201709,slip on,2,3566971,300000+,4
201710,slip on,9,2642181,300000+,4
201711,slip on,4,2549267,300000+,4
201712,slip on,7,2909257,300000+,4
201713,slip on,2,3209874,300000+,4
201714,slip on,12,3404511,300000+,4
201715,slip on,6,2832721,300000+,7
201716,slip on,2,3083138,300000+,7
201717,slip on,9,3206744,300000+,7
201718,slip on,0,3472062,300000+,4
201719,slip on,30,3753411,300000+,4
201720,slip on,6,3303653,300000+,4
201721,slip on,2,2509065,300000+,4
201722,slip on,6,2789159,300000+,4
201723,slip on,9,3104947,300000+,4
201724,slip on,8,3613213,300000+,5
201725,slip on,3,3910679,300000+,6
201726,slip on,5,4049304,300000+,6
201727,slip on,12,3835817,300000+,6
201728,slip on,4,3299726,300000+,6
201729,slip on,3,3347588,300000+,6
201730,slip on,1,3442165,300000+,6
201731,slip on,1,3363081,300000+,6
201732,slip on,2,3551449,300000+,6
201733,slip on,4,3064082,300000+,7
201734,slip on,1,3085677,300000+,7
201735,slip on,3,3327699,300000+,7
201736,slip on,9,2997714,300000+,8
201737,slip on,2,2969542,300000+,7
201738,slip on,8,3238427,300000+,7
201739,slip on,5,3398878,300000+,7
201740,slip on,7,2754606,300000+,7
201741,slip on,4,3567596,300000+,6
201742,slip on,5,4061859,300000+,6
201743,slip on,7,4475773,300000+,6
201744,slip on,3,4165265,300000+,8
201748,slip on,0,5974325,300000+,6
201749,slip on,3,5142262,300000+,5
201750,slip on,4,4619017,300000+,3
201751,slip on,2,6792203,300000+,5
201752,slip on,1,6929998,300000+,5
201753,slip on,0,4644265,300000+,2
201801,slip on,5,6189797,300000+,4
201802,slip on,1,6912514,300000+,6
201803,slip on,1,5899742,300000+,6
201804,slip on,2,3627777,300000+,16
201805,slip on,0,4117207,300000+,16
201806,slip on,1,4442301,300000+,17
201807,slip on,0,3979360,300000+,15
201808,slip on,3,4763464,300000+,16
201809,slip on,3,6827075,300000+,6
201810,slip on,3,5012673,300000+,18
201811,slip on,1,4214941,300000+,16
201812,slip on,3,4003236,300000+,17
201813,slip on,1,4799696,300000+,18
201814,slip on,2,4603821,300000+,18
201815,slip on,0,4666615,300000+,16
201816,slip on,0,4753688,300000+,12
201817,slip on,0,4270972,300000+,12
201818,slip on,0,4655421,300000+,13
201822,slip on,0,3924480,300000+,11
201823,slip on,0,4486424,300000+,10
201824,slip on,1,3462701,300000+,12
201825,slip on,0,3519720,300000+,12
201826,slip on,2,3327533,300000+,13
201827,slip on,0,2914821,300000+,16
201828,slip on,0,4633405,300000+,10
201829,slip on,2,5752451,300000+,8
201830,slip on,1,5184545,300000+,9
201831,slip on,2,4962436,300000+,9
201832,slip on,4,6677092,300000+,7
201833,slip on,1,6219897,300000+,8
201834,slip on,2,4903177,300000+,9
201835,slip on,2,6053285,300000+,9
201836,slip on,3,5320127,300000+,8
201837,slip on,2,4593752,300000+,10
201838,slip on,1,4966674,300000+,10
201839,slip on,2,5285248,300000+,9
201840,slip on,2,4471052,300000+,10
201841,slip on,1,4615865,300000+,10
201842,slip on,3,4473610,300000+,9
201843,slip on,1,3355657,300000+,13
