yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201536,solid,45,8923,005001..10000,1
201537,solid,38,8231,005001..10000,1
201723,solid,8,9348,005001..10000,1
201727,solid,12,9457,005001..10000,1
201728,solid,17,9740,005001..10000,1
201729,solid,16,7335,005001..10000,2
201730,solid,16,6154,005001..10000,2
201732,solid,16,7654,005001..10000,1
201734,solid,13,8600,005001..10000,2
201735,solid,16,8212,005001..10000,2
201736,solid,16,9250,005001..10000,1
201737,solid,22,7900,005001..10000,2
201738,solid,20,7870,005001..10000,2
201739,solid,32,6867,005001..10000,1
201740,solid,7,8094,005001..10000,1
201741,solid,16,7561,005001..10000,2
201742,solid,20,8209,005001..10000,2
201743,solid,51,8557,005001..10000,3
201744,solid,9,6919,005001..10000,4
201750,solid,15,7037,005001..10000,1
201751,solid,18,5423,005001..10000,1
201752,solid,11,9084,005001..10000,1
201802,solid,17,9924,005001..10000,1
201803,solid,18,8275,005001..10000,1
201804,solid,5,6330,005001..10000,2
201805,solid,5,9438,005001..10000,1
201806,solid,9,8067,005001..10000,1
201808,solid,8,7014,005001..10000,1
201809,solid,21,8086,005001..10000,2
201810,solid,18,8072,005001..10000,2
201811,solid,7,8033,005001..10000,2
201812,solid,6,6305,005001..10000,2
201813,solid,15,6784,005001..10000,2
201814,solid,13,7176,005001..10000,2
201815,solid,10,6673,005001..10000,2
201816,solid,2,8186,005001..10000,2
201817,solid,6,7430,005001..10000,2
201818,solid,6,6974,005001..10000,5
201822,solid,5,7896,005001..10000,255
201823,solid,5,8517,005001..10000,248
201824,solid,2,7722,005001..10000,268
201825,solid,3,8104,005001..10000,325
201826,solid,2,7946,005001..10000,273
201827,solid,4,7877,005001..10000,326
201828,solid,22,7450,005001..10000,304
201829,solid,8,7292,005001..10000,354
201830,solid,6,7507,005001..10000,331
201831,solid,12,7548,005001..10000,387
201832,solid,5,7449,005001..10000,383
201833,solid,2,7024,005001..10000,398
201834,solid,11,6657,005001..10000,349
201835,solid,8,6784,005001..10000,410
201836,solid,10,7009,005001..10000,312
201837,solid,5,6833,005001..10000,369
201838,solid,5,7164,005001..10000,392
201839,solid,7,7207,005001..10000,451
201840,solid,12,7683,005001..10000,485
201841,solid,9,7799,005001..10000,469
201842,solid,7,7326,005001..10000,455
201843,solid,6,7397,005001..10000,382
