yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201708,solid,28,1204230,300000+,3
201709,solid,23,1304446,300000+,3
201712,solid,34,352074,300000+,1
201721,solid,21,300131,300000+,1
201731,solid,5,842439,300000+,1
201733,solid,15,403171,300000+,1
201735,solid,16,514183,300000+,2
201736,solid,16,514102,300000+,1
201737,solid,22,332384,300000+,1
201738,solid,20,459585,300000+,3
201739,solid,32,404521,300000+,4
201740,solid,7,459331,300000+,7
201741,solid,16,591609,300000+,4
201742,solid,20,645567,300000+,3
201743,solid,51,742342,300000+,4
201744,solid,9,526417,300000+,7
201748,solid,1,1952848,300000+,9
201749,solid,11,713176,300000+,8
201750,solid,15,791677,300000+,7
201751,solid,18,1258193,300000+,9
201752,solid,11,1191351,300000+,9
201753,solid,5,413601,300000+,2
201801,solid,17,2780808,300000+,2
201802,solid,17,2233495,300000+,3
201803,solid,18,2180002,300000+,3
201804,solid,5,2202896,300000+,3
201805,solid,5,2172077,300000+,5
201806,solid,9,2051686,300000+,7
201807,solid,5,2819774,300000+,5
201808,solid,8,2810792,300000+,6
201809,solid,21,3052400,300000+,6
201810,solid,18,3387969,300000+,5
201811,solid,7,3386942,300000+,5
201812,solid,6,4400579,300000+,3
201813,solid,15,5179601,300000+,5
201814,solid,13,4872293,300000+,5
201815,solid,10,3686245,300000+,2
201816,solid,2,2629638,300000+,3
201817,solid,6,2479030,300000+,3
201818,solid,6,495059,300000+,3
201822,solid,5,1384948,300000+,29
201823,solid,5,1076544,300000+,43
201824,solid,2,1003010,300000+,41
201825,solid,3,1343743,300000+,30
201826,solid,2,937677,300000+,57
201827,solid,4,851467,300000+,51
201828,solid,22,1238741,300000+,41
201829,solid,8,1048681,300000+,39
201830,solid,6,1073518,300000+,59
201831,solid,12,928437,300000+,41
201832,solid,5,1334584,300000+,39
201833,solid,2,1233449,300000+,29
201834,solid,11,1241376,300000+,35
201835,solid,8,1465742,300000+,34
201836,solid,10,1436268,300000+,30
201837,solid,5,1697282,300000+,36
201838,solid,5,1182301,300000+,48
201839,solid,7,1767380,300000+,46
201840,solid,12,1527314,300000+,46
201841,solid,9,1558551,300000+,43
201842,solid,7,1666525,300000+,41
201843,solid,6,1604016,300000+,57
