yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201711,steel,24,33,0..1000,1
201712,steel,21,28,0..1000,1
201713,steel,31,40,0..1000,1
201714,steel,19,41,0..1000,1
201715,steel,9,65,0..1000,1
201716,steel,21,63,0..1000,1
201717,steel,15,64,0..1000,1
201718,steel,21,63,0..1000,1
201719,steel,18,73,0..1000,1
201720,steel,20,78,0..1000,1
201721,steel,19,89,0..1000,1
201722,steel,14,90,0..1000,1
201723,steel,16,123,0..1000,1
201724,steel,16,166,0..1000,1
201725,steel,32,174,0..1000,1
201726,steel,29,182,0..1000,1
201727,steel,32,149,0..1000,1
201728,steel,47,367,0..1000,1
201729,steel,20,131,0..1000,1
201730,steel,22,141,0..1000,1
201731,steel,10,135,0..1000,1
201732,steel,18,104,0..1000,1
201733,steel,20,89,0..1000,1
201734,steel,24,83,0..1000,1
201735,steel,17,183,0..1000,1
201736,steel,4,139,0..1000,1
201737,steel,15,187,0..1000,1
201738,steel,17,142,0..1000,1
201739,steel,33,126,0..1000,1
201740,steel,22,115,0..1000,1
201741,steel,29,166,0..1000,1
201742,steel,12,204,0..1000,1
201743,steel,11,362,0..1000,1
201744,steel,7,234,0..1000,1
201752,steel,12,543,0..1000,1
201753,steel,3,351,0..1000,1
201801,steel,9,378,0..1000,1
201802,steel,5,207,0..1000,1
201803,steel,12,155,0..1000,1
201804,steel,23,120,0..1000,1
201805,steel,8,455,0..1000,2
201806,steel,28,295,0..1000,2
201807,steel,7,173,0..1000,2
201808,steel,5,74,0..1000,2
201809,steel,15,95,0..1000,2
201810,steel,6,89,0..1000,2
201811,steel,7,131,0..1000,2
201812,steel,7,100,0..1000,2
201813,steel,5,94,0..1000,2
201814,steel,9,69,0..1000,2
201815,steel,15,62,0..1000,2
201816,steel,4,98,0..1000,2
201817,steel,6,161,0..1000,2
201818,steel,5,151,0..1000,2
201822,steel,2,289,0..1000,172
201823,steel,5,344,0..1000,175
201824,steel,0,365,0..1000,176
201825,steel,0,321,0..1000,178
201826,steel,5,326,0..1000,178
201827,steel,3,359,0..1000,174
201828,steel,6,317,0..1000,178
201829,steel,4,380,0..1000,159
201830,steel,6,352,0..1000,174
201831,steel,4,344,0..1000,175
201832,steel,2,324,0..1000,176
201833,steel,7,245,0..1000,163
201834,steel,4,254,0..1000,163
201835,steel,5,275,0..1000,163
201836,steel,6,260,0..1000,163
201837,steel,8,242,0..1000,146
201838,steel,4,255,0..1000,153
201839,steel,4,244,0..1000,144
201840,steel,3,302,0..1000,155
201841,steel,7,436,0..1000,84
201842,steel,5,415,0..1000,65
201843,steel,1,572,0..1000,72
