yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201702,tape,5,8125,005001..10000,1
201703,tape,5,5876,005001..10000,1
201704,tape,3,7856,005001..10000,1
201705,tape,3,6440,005001..10000,1
201711,tape,10,9307,005001..10000,1
201712,tape,2,8584,005001..10000,1
201714,tape,2,8685,005001..10000,1
201715,tape,2,9690,005001..10000,1
201716,tape,3,6344,005001..10000,2
201717,tape,2,7387,005001..10000,1
201718,tape,4,5957,005001..10000,2
201719,tape,6,7200,005001..10000,2
201720,tape,3,6144,005001..10000,2
201721,tape,2,5687,005001..10000,1
201722,tape,2,5916,005001..10000,1
201723,tape,6,5103,005001..10000,1
201724,tape,5,9552,005001..10000,1
201725,tape,11,8310,005001..10000,1
201727,tape,2,9066,005001..10000,1
201728,tape,4,5923,005001..10000,1
201731,tape,5,6292,005001..10000,1
201732,tape,2,9980,005001..10000,1
201733,tape,8,7374,005001..10000,1
201734,tape,4,6539,005001..10000,2
201735,tape,5,5880,005001..10000,2
201736,tape,4,6809,005001..10000,2
201737,tape,1,7192,005001..10000,2
201738,tape,2,6920,005001..10000,1
201739,tape,2,5197,005001..10000,1
201740,tape,1,6349,005001..10000,1
201818,tape,1,6660,005001..10000,1
201822,tape,1,6121,005001..10000,5
201823,tape,2,6959,005001..10000,4
201824,tape,2,5969,005001..10000,16
201825,tape,0,5470,005001..10000,13
201826,tape,0,6236,005001..10000,11
201827,tape,1,6925,005001..10000,16
201828,tape,2,7516,005001..10000,4
201829,tape,0,6572,005001..10000,3
201830,tape,2,5369,005001..10000,4
201831,tape,1,5909,005001..10000,7
201832,tape,2,5453,005001..10000,1
201833,tape,2,9022,005001..10000,5
201834,tape,4,6990,005001..10000,16
201835,tape,6,7791,005001..10000,14
201836,tape,5,8338,005001..10000,14
201838,tape,3,6935,005001..10000,42
201839,tape,2,8157,005001..10000,41
201840,tape,3,7665,005001..10000,38
201841,tape,3,7137,005001..10000,60
201842,tape,5,7809,005001..10000,29
201843,tape,0,8082,005001..10000,23
