yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201719,vintage,131,5182,005001..10000,1
201724,vintage,149,7003,005001..10000,1
201730,vintage,99,7071,005001..10000,1
201733,vintage,123,7746,005001..10000,1
201734,vintage,119,7190,005001..10000,1
201735,vintage,98,8210,005001..10000,2
201736,vintage,83,8277,005001..10000,1
201737,vintage,90,6863,005001..10000,4
201738,vintage,91,6930,005001..10000,3
201739,vintage,104,6283,005001..10000,5
201740,vintage,88,7303,005001..10000,4
201741,vintage,338,7657,005001..10000,3
201742,vintage,95,7159,005001..10000,3
201743,vintage,96,7919,005001..10000,4
201744,vintage,30,8010,005001..10000,4
201748,vintage,12,6673,005001..10000,2
201749,vintage,84,8642,005001..10000,2
201752,vintage,77,8441,005001..10000,3
201753,vintage,6,8386,005001..10000,2
201801,vintage,63,9036,005001..10000,1
201802,vintage,90,7255,005001..10000,1
201803,vintage,106,7825,005001..10000,2
201804,vintage,57,6488,005001..10000,2
201805,vintage,48,7056,005001..10000,3
201806,vintage,55,6750,005001..10000,4
201807,vintage,39,8058,005001..10000,5
201808,vintage,86,7601,005001..10000,4
201809,vintage,73,6945,005001..10000,4
201810,vintage,86,6655,005001..10000,5
201811,vintage,62,9884,005001..10000,1
201812,vintage,52,5915,005001..10000,1
201813,vintage,80,5660,005001..10000,1
201814,vintage,59,8468,005001..10000,3
201815,vintage,40,7103,005001..10000,2
201816,vintage,39,6474,005001..10000,2
201817,vintage,29,7767,005001..10000,4
201818,vintage,19,9137,005001..10000,2
201822,vintage,26,6827,005001..10000,250
201823,vintage,40,7194,005001..10000,320
201824,vintage,13,7699,005001..10000,306
201825,vintage,23,7578,005001..10000,325
201826,vintage,27,6877,005001..10000,317
201827,vintage,20,7462,005001..10000,323
201828,vintage,63,7523,005001..10000,335
201829,vintage,58,6948,005001..10000,314
201830,vintage,67,7443,005001..10000,338
201831,vintage,56,6497,005001..10000,270
201832,vintage,48,6687,005001..10000,325
201833,vintage,50,6999,005001..10000,301
201834,vintage,48,6571,005001..10000,307
201835,vintage,43,7231,005001..10000,317
201836,vintage,44,6948,005001..10000,290
201837,vintage,46,6904,005001..10000,271
201838,vintage,43,6985,005001..10000,280
201839,vintage,56,7204,005001..10000,228
201840,vintage,43,7667,005001..10000,208
201841,vintage,55,6621,005001..10000,318
201842,vintage,48,7916,005001..10000,236
201843,vintage,25,8025,005001..10000,292
