yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201720,vintage,85,343559,300000+,1
201721,vintage,126,377467,300000+,2
201722,vintage,110,705948,300000+,1
201727,vintage,158,1123415,300000+,1
201728,vintage,163,1449637,300000+,1
201729,vintage,135,1885648,300000+,1
201730,vintage,99,2322659,300000+,1
201731,vintage,61,2592062,300000+,1
201732,vintage,117,2900004,300000+,1
201733,vintage,123,3109283,300000+,1
201734,vintage,119,1702434,300000+,3
201735,vintage,98,3333141,300000+,1
201736,vintage,83,401306,300000+,1
201737,vintage,90,1368390,300000+,1
201738,vintage,91,737785,300000+,1
201739,vintage,104,825408,300000+,1
201741,vintage,338,893507,300000+,1
201742,vintage,95,942647,300000+,1
201743,vintage,96,438658,300000+,1
201744,vintage,30,1134425,300000+,1
201748,vintage,12,1501828,300000+,1
201749,vintage,84,514825,300000+,1
201750,vintage,69,1023721,300000+,1
201751,vintage,57,1612537,300000+,1
201752,vintage,77,869326,300000+,1
201801,vintage,63,641589,300000+,1
201802,vintage,90,910188,300000+,1
201803,vintage,106,793479,300000+,1
201804,vintage,57,727460,300000+,1
201805,vintage,48,522496,300000+,1
201806,vintage,55,464770,300000+,1
201810,vintage,86,502636,300000+,1
201811,vintage,62,652503,300000+,1
201812,vintage,52,849207,300000+,1
201813,vintage,80,558188,300000+,3
201814,vintage,59,518609,300000+,1
201818,vintage,19,474374,300000+,2
201822,vintage,26,845834,300000+,16
201823,vintage,40,974755,300000+,29
201824,vintage,13,995613,300000+,16
201825,vintage,23,1340770,300000+,13
201826,vintage,27,1217100,300000+,17
201827,vintage,20,1342396,300000+,15
201828,vintage,63,1524879,300000+,15
201829,vintage,58,2156953,300000+,9
201830,vintage,67,1595160,300000+,11
201831,vintage,56,1465657,300000+,11
201832,vintage,48,1436118,300000+,10
201833,vintage,50,2021708,300000+,6
201834,vintage,48,1671645,300000+,8
201835,vintage,43,1765294,300000+,88
201836,vintage,44,2028110,300000+,81
201837,vintage,46,2109400,300000+,79
201838,vintage,43,1609508,300000+,55
201839,vintage,56,1457844,300000+,26
201840,vintage,43,1371800,300000+,21
201841,vintage,55,2009824,300000+,19
201842,vintage,48,2698207,300000+,10
201843,vintage,25,1710469,300000+,19
