yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201536,white,230,8923,005001..10000,1
201537,white,150,8231,005001..10000,1
201712,white,172,8960,005001..10000,1
201713,white,200,5060,005001..10000,1
201714,white,211,7477,005001..10000,1
201721,white,115,8643,005001..10000,1
201724,white,188,8677,005001..10000,1
201725,white,372,8118,005001..10000,1
201726,white,130,7532,005001..10000,1
201729,white,124,6464,005001..10000,1
201730,white,118,5960,005001..10000,1
201731,white,61,7751,005001..10000,1
201732,white,126,6368,005001..10000,1
201733,white,139,6601,005001..10000,1
201742,white,91,6373,005001..10000,1
201743,white,71,7050,005001..10000,1
201748,white,14,7937,005001..10000,1
201749,white,35,6034,005001..10000,1
201750,white,41,9969,005001..10000,1
201751,white,33,6604,005001..10000,2
201752,white,38,6144,005001..10000,1
201753,white,7,9816,005001..10000,1
201802,white,96,5466,005001..10000,1
201803,white,101,8020,005001..10000,3
201804,white,102,6948,005001..10000,4
201805,white,45,7332,005001..10000,4
201806,white,72,7021,005001..10000,3
201807,white,34,7066,005001..10000,1
201808,white,86,6476,005001..10000,1
201809,white,115,5907,005001..10000,2
201810,white,51,6850,005001..10000,2
201811,white,57,8715,005001..10000,1
201812,white,51,7133,005001..10000,1
201822,white,21,6929,005001..10000,187
201823,white,51,7154,005001..10000,206
201824,white,25,7752,005001..10000,207
201825,white,17,7718,005001..10000,220
201826,white,24,7318,005001..10000,243
201827,white,19,6896,005001..10000,256
201828,white,57,6823,005001..10000,214
201829,white,122,6999,005001..10000,265
201830,white,71,7911,005001..10000,236
201831,white,57,7075,005001..10000,257
201832,white,66,7262,005001..10000,224
201833,white,56,7209,005001..10000,289
201834,white,53,6919,005001..10000,314
201835,white,78,7056,005001..10000,336
201836,white,97,6948,005001..10000,304
201837,white,51,6586,005001..10000,229
201838,white,68,6875,005001..10000,261
201839,white,42,7252,005001..10000,329
201840,white,55,7548,005001..10000,352
201841,white,39,7023,005001..10000,320
201842,white,40,7031,005001..10000,389
201843,white,21,7249,005001..10000,534
