yearWeek,keywords,N_Tweets,avgRnkWeek,rankBucket,N_ASINs
201702,white,167,1693922,300000+,2
201703,white,136,1844298,300000+,1
201704,white,204,2026047,300000+,1
201705,white,109,2722320,300000+,1
201706,white,135,2747483,300000+,1
201707,white,109,2783030,300000+,1
201708,white,197,2805886,300000+,1
201709,white,173,1544707,300000+,1
201710,white,217,1148208,300000+,1
201711,white,171,2068825,300000+,1
201712,white,172,2247768,300000+,1
201713,white,200,2588512,300000+,1
201714,white,211,1642359,300000+,2
201715,white,112,1582890,300000+,3
201716,white,83,2078304,300000+,3
201717,white,160,1523181,300000+,3
201718,white,192,788670,300000+,2
201719,white,197,1481807,300000+,2
201720,white,150,1620326,300000+,2
201721,white,115,1776601,300000+,2
201722,white,103,2765558,300000+,1
201723,white,117,2946098,300000+,1
201724,white,188,3086233,300000+,1
201725,white,372,3143062,300000+,1
201726,white,130,3175862,300000+,1
201727,white,166,822041,300000+,1
201728,white,137,1799982,300000+,1
201729,white,124,2196559,300000+,1
201730,white,118,2586079,300000+,1
201731,white,61,2844507,300000+,1
201732,white,126,1676766,300000+,2
201733,white,139,2247895,300000+,1
201734,white,95,882787,300000+,2
201735,white,119,1289531,300000+,2
201736,white,127,2161249,300000+,9
201737,white,77,690527,300000+,42
201738,white,102,728988,300000+,41
201739,white,105,1089559,300000+,4
201740,white,93,889454,300000+,4
201741,white,105,890662,300000+,3
201742,white,91,1290399,300000+,2
201743,white,71,1321493,300000+,3
201744,white,32,938063,300000+,5
201748,white,14,1295820,300000+,7
201749,white,35,1188909,300000+,7
201750,white,41,855925,300000+,6
201751,white,33,1076240,300000+,6
201752,white,38,1041776,300000+,5
201804,white,102,2215353,300000+,3
201805,white,45,2422543,300000+,3
201806,white,72,1797642,300000+,5
201807,white,34,2246710,300000+,4
201808,white,86,2282116,300000+,4
201809,white,115,731352,300000+,1
201810,white,51,2997943,300000+,3
201811,white,57,2064753,300000+,5
201812,white,51,1955848,300000+,7
201813,white,70,1273204,300000+,7
201814,white,91,1562622,300000+,6
201815,white,54,2898884,300000+,58
201816,white,25,1571456,300000+,6
201817,white,30,1798810,300000+,8
201818,white,18,646833,300000+,2
201822,white,21,1907181,300000+,27
201823,white,51,1736570,300000+,33
201824,white,25,1784686,300000+,30
201825,white,17,1594332,300000+,28
201826,white,24,1485623,300000+,42
201827,white,19,1288005,300000+,41
201828,white,57,2161724,300000+,25
201829,white,122,1844536,300000+,26
201830,white,71,1815284,300000+,32
201831,white,57,1443765,300000+,26
201832,white,66,2319165,300000+,25
201833,white,56,2025318,300000+,22
201834,white,53,1237532,300000+,37
201835,white,78,1083649,300000+,26
201836,white,97,1403445,300000+,41
201837,white,51,1211113,300000+,50
201838,white,68,1489287,300000+,49
201839,white,42,1472397,300000+,49
201840,white,55,1643000,300000+,51
201841,white,39,1462093,300000+,51
201842,white,40,1565878,300000+,34
201843,white,21,1511188,300000+,55
