dataset,model_type,model,lag,ME,RMSE,MAE,MPE,MAPE
beige_0..1000,Multivariate Amzn Twttr,"VECM, lag=1",1,5.651647303536336,34.388459518287576,29.20144919853601,1.195717316587642,9.073199015471054
beige_0..1000,Univariate Amazon,"LINEAR, lag=1",1,8.005105667332586,28.330574844778894,22.91118630719582,1.9003292557176341,7.165546153951977
beige_0..1000,Univariate Amazon,"NNET, lag=1",1,-30.358893444654427,38.89381086420689,31.24637177040995,-10.196661501998882,10.455401538662299
beige_0..1000,Multivariate Amzn Twttr,"VECM, lag=2",2,3.949909294337516,34.013026908079446,27.690822379896673,0.6450905942948375,8.623127401767054
beige_0..1000,Univariate Amazon,"LINEAR, lag=2",2,11.613770622452847,31.61485155192463,25.839491420491086,2.973349042479658,8.037664139044246
beige_0..1000,Univariate Amazon,"NNET, lag=2",2,7.057461794561846,27.62720816803756,20.87914740084024,1.6602433070133096,6.635657232148655
beige_0..1000,Multivariate Amzn Twttr,"VECM, lag=3",3,1.1546199454228514,36.64964412413504,33.633269872711764,-0.2158757309694681,10.581128621530272
beige_0..1000,Univariate Amazon,"LINEAR, lag=3",3,13.506044218077022,30.657333675807156,25.05037930166033,3.626952165200186,7.745683040970763
beige_0..1000,Univariate Amazon,"NNET, lag=3",3,31.47813806012894,43.75520815271805,36.31308827214018,9.219954434856087,10.971747989932622
beige_0..1000,Multivariate Amzn Twttr,"VECM, lag=4",4,-1.4328626462444092,47.86640493168324,40.65816931702593,-1.3589361395664734,12.983070654022681
beige_0..1000,Univariate Amazon,"LINEAR, lag=4",4,16.090020371876022,31.274879984456803,25.773353734436014,4.437238257928362,7.9305058830903095
beige_0..1000,Univariate Amazon,"NNET, lag=4",4,-31.045596387538247,45.45749127665795,37.753644218567295,-10.021228561880859,12.331568885499653
beige_0..1000,Multivariate Amzn Twttr,"VECM, lag=5",5,-4.852648387199579,46.96054326448455,41.18801558896604,-2.6157540036167344,13.273651023875125
beige_0..1000,Univariate Amazon,"LINEAR, lag=5",5,18.36764533319368,32.714095629869966,27.66535850002188,5.139516301899201,8.49008606019579
beige_0..1000,Univariate Amazon,"NNET, lag=5",5,11.35584261109313,26.074795794103643,23.025505082877054,2.9945469637502704,7.184946722868072
beige_300000+,Multivariate Amzn Twttr,"VECM, lag=1",1,-24697.2482202463,367247.3109413139,321608.965880544,-21.313100867379667,48.31117683956917
beige_300000+,Univariate Amazon,"LINEAR, lag=1",1,-78531.46288797318,361252.57423095073,305294.950883158,-28.963719105556528,49.74410732143241
beige_300000+,Univariate Amazon,"NNET, lag=1",1,-117370.58355048245,408731.47609396046,342772.91400030954,-35.570004824417566,55.60329901951454
beige_300000+,Multivariate Amzn Twttr,"VECM, lag=2",2,-25415.35118543329,356435.27393336117,309175.4760279538,-20.23499059238355,46.277030150737595
beige_300000+,Univariate Amazon,"LINEAR, lag=2",2,-98678.63447663738,369040.3691455308,326476.34533544764,-30.323916084672355,50.87161497589415
beige_300000+,Univariate Amazon,"NNET, lag=2",2,29353.403973958353,424088.3044437693,374423.29206689144,-8.4644890412612,51.625531392818495
beige_300000+,Multivariate Amzn Twttr,"VECM, lag=3",3,-29245.903368588304,368508.78887812514,314758.529694349,-21.527067099399577,47.83211725770148
beige_300000+,Univariate Amazon,"LINEAR, lag=3",3,-136966.83541086974,349971.00164806534,297527.77201905265,-37.43550789772897,51.64741407901722
beige_300000+,Univariate Amazon,"NNET, lag=3",3,-53741.85699576016,401773.94859389815,367496.3480242485,-28.772118045563708,58.503589316600795
beige_300000+,Multivariate Amzn Twttr,"VECM, lag=4",4,-47534.47283717299,373326.27741490694,328699.9563921188,-24.045075950992185,49.94262437277084
beige_300000+,Univariate Amazon,"LINEAR, lag=4",4,-156393.93542936147,345900.28516350413,286874.93740394094,-40.03528270751522,51.10210730327767
beige_300000+,Univariate Amazon,"NNET, lag=4",4,-72386.43128491227,355846.8515799812,327798.66553133447,-28.822344317873554,51.62193191727119
beige_300000+,Multivariate Amzn Twttr,"VECM, lag=5",5,-46103.443577431084,386372.28516994265,331444.14986944175,-24.65743176200686,51.19394816554717
beige_300000+,Univariate Amazon,"LINEAR, lag=5",5,-172171.32147908054,346855.5869464509,287284.0394297462,-43.08175033538975,52.810670056226236
beige_300000+,Univariate Amazon,"NNET, lag=5",5,-169808.43749248178,422338.76431761275,356342.35376895126,-46.60505866728769,62.991404685229824
black_0..1000,Multivariate Amzn Twttr,"VECM, lag=1",1,20.095073159558993,43.611224431356156,31.86148148446665,4.418878482982294,7.806763147953331
black_0..1000,Univariate Amazon,"LINEAR, lag=1",1,24.53982523707323,44.8226804237466,31.894829325183764,5.591642868842375,7.742265374637092
