,,RMSE,RMSE,RMSE,RMSE,MAE,MAE,MAPE,MAPE
,,mean,std,min,max,mean,std,mean,std
model,lag,,,,,,,,
"LINEAR, lag=1",1,159888.7439,448254.9185,28.3306,2924464.7243,131706.7578,374949.8236,15.6244,22.7991
"LINEAR, lag=2",2,165799.6735,453373.6944,31.6149,2859279.9637,140070.3062,385222.4595,16.2009,21.3412
"LINEAR, lag=3",3,180293.6391,484290.0735,30.6573,2892062.4368,153818.1711,407955.9395,17.8302,25.0749
"LINEAR, lag=4",4,191028.5028,509146.6044,31.2749,2861595.3559,166472.2948,443020.8026,19.1709,27.938
"LINEAR, lag=5",5,201150.586,529952.7301,32.7141,2785203.7377,176872.7502,468753.8968,20.4014,31.1881
"NNET, lag=1",1,206328.6545,684259.6539,31.2216,4652663.5428,159698.2371,500519.8435,17.3755,27.5195
"NNET, lag=2",2,214527.6038,635152.4988,18.6143,4029527.8388,175514.4623,500801.3711,18.6114,26.1137
"NNET, lag=3",3,239917.5721,673384.2124,42.244,4137208.2878,193244.0738,521708.2179,21.2538,31.0438
"NNET, lag=4",4,337941.6593,1260565.5071,41.496,11527433.1891,253253.0988,805323.5419,25.7296,47.4526
"NNET, lag=5",5,314910.8826,910818.3054,26.0748,6128274.2082,268850.7644,810796.9865,26.5416,48.3684
"VECM, lag=1",1,163469.099,465087.2587,21.9767,3040717.2148,130204.354,362730.2807,14.8479,19.128
"VECM, lag=2",2,166818.1991,466228.0149,25.193,2989166.5549,134054.9237,378453.645,15.5662,21.3758
"VECM, lag=3",3,196307.79,647840.3627,28.3575,5637158.2978,165937.1769,564020.8358,17.6862,30.9579
"VECM, lag=4",4,260518.6664,1169679.5591,30.3988,11598238.8738,205750.4261,898921.62,18.9504,36.4337
"VECM, lag=5",5,283264.5892,1381363.4651,30.3132,13883442.479,228086.935,1122250.4331,20.4855,47.8211
